GCF_007096385.1	Aliidiomarina halalkaliphila
GCF_003987315.1	Aliidiomarina haloalkalitolerans
GCF_015354615.1	Aliidiomarina indica
GCF_003987135.1	Aliidiomarina iranensis
GCF_003987335.1	Aliidiomarina maris
GCF_003987145.1	Aliidiomarina minuta
GCF_023922585.1	Aliidiomarina quisquiliarum
GCF_003987175.1	Aliidiomarina sanyensis
GCF_003986955.1	Aliidiomarina sedimenti
GCF_003987345.1	Aliidiomarina shirensis
GCF_003986975.1	Aliidiomarina soli
GCF_003987015.1	Aliidiomarina taiwanensis
GCF_014643535.1	Aliidongia dinghuensis
GCF_004799285.1	Aliigemmobacter aestuarii
GCF_000314975.1	Aliiglaciecola lipolytica E3
GCF_039523355.1	Aliiglaciecola litoralis
GCF_024105665.1	Aliihoeflea aestuarii
GCF_007004725.1	Aliikangiella coralliicola
GCF_007004765.1	Aliikangiella marina
GCF_040719265.1	Aliikangiella maris
GCF_014198105.1	Aliirhizobium cellulosilyticum
GCF_006335145.1	Aliirhizobium smilacinae
GCF_030323265.1	Aliirhizobium terrae
GCF_041403445.1	Aliiroseovarius conchicola
GCF_025137635.1	Aliiroseovarius crassostreae
GCF_007004645.1	Aliiroseovarius halocynthiae
GCF_018599245.1	Aliiroseovarius lamellibrachiae
GCF_004360145.1	Aliiroseovarius marinus
GCF_900302485.1	Aliiroseovarius pelagivivens
GCF_027891095.1	Aliiroseovarius salicola
GCF_900109955.1	Aliiroseovarius sediminilitoris
GCF_022678485.1	Aliiroseovarius sediminis
GCF_022678625.1	Aliiroseovarius subalbicans
GCF_014656375.1	Aliiroseovarius zhejiangensis
GCF_003003255.1	Aliiruegeria haliotis
GCF_900099935.1	Aliiruegeria lutimaris
GCF_001558155.1	Aliiruegeria sabulilitoris
GCF_045277565.1	Aliisedimentitalea scapharcae
GCF_004803475.1	Aliishimia ponticola
GCF_004167995.1	Aliivibrio finisterrensis
GCF_000011805.1	Aliivibrio fischeri ES114
GCF_050337105.1	Aliivibrio kagoshimensis
GCF_001691055.1	Aliivibrio logei
GCF_000196495.1	Aliivibrio salmonicida LFI1238
GCF_002954715.1	Aliivibrio sifiae
GCF_000280055.1	Alishewanella aestuarii B11
GCF_000272005.1	Alishewanella agri BL06
GCF_000245735.1	Alishewanella jeotgali KCTC 22429
GCF_014653435.1	Alishewanella longhuensis
GCF_016343785.1	Alishewanella maricola
GCF_014652375.1	Alishewanella tabrizica
GCF_006542665.1	Alistipes communis
GCF_006542685.1	Alistipes dispar
GCF_027677115.1	Alistipes finegoldii
GCF_014288115.1	Alistipes hominis
GCF_025144665.1	Alistipes ihumii AP11
GCF_025144995.1	Alistipes indistinctus YIT 12060
GCF_000786575.1	Alistipes inops
GCF_040095975.1	Alistipes intestinihominis
GCF_900604385.1	Alistipes megaguti
GCF_018362775.1	Alistipes montrealensis
GCF_943193205.1	Alistipes muris
GCF_006542645.1	Alistipes onderdonkii subsp. vulgaris
GCF_900083545.1	Alistipes provencensis
GCF_000154465.1	Alistipes putredinis DSM 17216
GCF_900624755.1	Alistipes senegalensis
GCF_025145845.1	Alistipes shahii WAL 8301
GCF_900107675.1	Alistipes timonensis JC136
GCF_021491355.1	Alitabrizicola rongguiensis
GCF_000952155.1	Aliterella atlantica CENA595
GCF_003096995.1	Alitibacter langaaensis DSM 22999
GCF_025567195.1	Alitiscatomonas aceti
GCF_014595945.1	Alkalibacillus aidingensis
GCF_011761495.1	Alkalibacillus almallahensis
GCF_030814115.1	Alkalibacillus filiformis
GCF_040545925.1	Alkalibacillus flavidus
GCF_007991275.1	Alkalibacillus haloalkaliphilus
GCF_030812915.1	Alkalibacillus salilacus
GCF_039521975.1	Alkalibacillus silvisoli
GCF_015594845.1	Alkalibacter mobilis
GCF_017352215.1	Alkalibacter rhizosphaerae
GCF_900128885.1	Alkalibacter saccharofermentans DSM 14828
GCF_900109085.1	Alkalibacterium gilvum
GCF_039521845.1	Alkalibacterium iburiense
GCF_039522005.1	Alkalibacterium indicireducens
GCF_007988865.1	Alkalibacterium kapii
