GCF_009742705.1	Auraticoccus cholistanensis
GCF_900101785.1	Auraticoccus monumenti
GCF_004363045.1	Aureibacillus halotolerans
GCF_036492635.1	Aureibacter tunicatorum
GCF_006065315.1	Aureibaculum algae
GCF_016406085.1	Aureibaculum flavum
GCF_003449015.1	Aureibaculum luteum
GCF_003813905.1	Aureibaculum marinum
GCF_002954325.1	Aureicoccus marinus
GCF_900141975.1	Aureimonas altamirensis DSM 21988
GCF_014642635.1	Aureimonas endophytica
GCF_003583935.1	Aureimonas flava
GCF_008369445.1	Aureimonas fodinaquatilis
GCF_001463905.1	Aureimonas frigidaquae
GCF_014643375.1	Aureimonas glaciei
GCF_900104035.1	Aureimonas jatrophae
GCF_014058705.1	Aureimonas mangrovi
GCF_047943035.1	Aureimonas phyllosphaerae
GCF_017815515.1	Aureimonas populi
GCF_009176975.1	Aureimonas psammosilenae
GCF_014196835.1	Aureimonas pseudogalii
GCF_001463945.1	Aureimonas ureilytica DSM 18598 = NBRC 106430
GCF_028561275.1	Aureisphaera galaxeae
GCF_026000115.1	Aureispira anguillae
GCF_002943755.1	Aureitalea marina
GCF_015767265.1	Aureivirga marina
GCF_007752135.1	Aureliella helgolandensis
GCF_029853775.1	Auritidibacter ignavus
GCF_900111385.1	Austwickia chelonae
GCF_031846505.1	Autumnicola edwardsiae
GCF_031846515.1	Autumnicola lenta
GCF_031846585.1	Autumnicola musiva
GCF_031846525.1	Autumnicola patrickiae
GCF_031846645.1	Autumnicola psychrophila
GCF_031846485.1	Autumnicola tepida
GCF_900454535.1	Avibacterium avium
GCF_965138825.1	Avibacterium endocarditidis
GCF_004362535.1	Avibacterium gallinarum
GCF_011765605.1	Avibacterium paragallinarum
GCF_900635775.1	Avibacterium volantium
GCF_002807015.1	Avrilella dinanensis
GCF_004361735.1	Azoarcus indigens
GCF_001682385.1	Azoarcus olearius
GCF_012910885.1	Azoarcus taiwanensis
GCF_009760915.1	Azohydromonas aeria
GCF_000430725.1	Azohydromonas australica DSM 1124
GCF_012927045.1	Azohydromonas caseinilytica
GCF_034427735.1	Azohydromonas lata
GCF_003574675.1	Azohydromonas sediminis
GCF_007830255.1	Azomonas agilis
GCF_014191985.1	Azomonas macrocytogenes
GCF_048146105.1	Azonexus caeni
GCF_003634965.1	Azonexus fungiphilus
GCF_038368255.1	Azonexus hydrophilus
GCF_000010525.1	Azorhizobium caulinodans ORS 571
GCF_000473085.1	Azorhizobium doebereinerae UFLA1-100
GCF_014635325.1	Azorhizobium oxalatiphilum
GCF_043587585.2	Azorhizophilus paspali
GCF_018905915.1	Azospira inquinata
GCF_000236665.1	Azospira oryzae PS
GCF_016858125.1	Azospira restricta
GCF_016632405.1	Azospirillum aestuarii
GCF_020005195.1	Azospirillum agricola
GCF_000632475.1	Azospirillum argentinense
GCF_003119195.2	Azospirillum baldaniorum
GCF_007827425.1	Azospirillum brasilense
GCF_025961225.1	Azospirillum canadense
GCF_003590795.1	Azospirillum cavernae
GCF_003989665.1	Azospirillum doebereinerae
GCF_016595245.1	Azospirillum endophyticum
GCF_025961205.1	Azospirillum fermentarium
GCF_019780885.1	Azospirillum formosense
GCF_003966125.1	Azospirillum griseum
GCF_000429625.1	Azospirillum halopraeferens DSM 3675
GCF_042657465.1	Azospirillum himalayense
GCF_001639105.2	Azospirillum humicireducens
GCF_030849505.1	Azospirillum isscasi
GCF_008364955.1	Azospirillum lipoferum
GCF_013340935.1	Azospirillum melinis
GCF_013423485.1	Azospirillum oleiclasticum
GCF_013347285.1	Azospirillum oryzae
GCF_002573965.1	Azospirillum palustre
GCF_030814895.1	Azospirillum picis
GCF_003233655.1	Azospirillum ramasamyi
GCF_030814845.1	Azospirillum rugosum
GCF_017876165.1	Azospirillum soli
GCF_014596085.1	Azospirillum tabaci
GCF_003130795.1	Azospirillum thermophilum
GCF_001305595.1	Azospirillum thiophilum
GCF_900110885.1	Azotobacter beijerinckii
GCF_042643485.1	Azotobacter bryophylli
GCF_002220155.1	Azotobacter chroococcum
GCF_009363155.1	Azotobacter salinestris
GCF_000021045.1	Azotobacter vinelandii DJ
GCF_030542965.1	Azotosporobacter soli
GCF_000429665.1	Azovibrio restrictus DSM 23866
GCF_000332355.1	Baaleninema simplex PCC 7105
GCF_900605495.1	Bacilliculturomica massiliensis
GCF_029894105.1	Bacillus aerius
GCF_009183655.1	Bacillus aerolatus
GCF_030292135.1	Bacillus albus
GCF_002797415.1	Bacillus alkalisoli
GCF_001191605.1	Bacillus altitudinis
GCF_019396925.1	Bacillus amyloliquefaciens
GCF_001244735.1	Bacillus andreraoultii
GCF_000008445.1	Bacillus anthracis str. Ames Ancestor
GCF_019915265.1	Bacillus aquiflavi
GCF_030285945.1	Bacillus arachidis
GCF_039519175.1	Bacillus atrophaeus
GCF_001307105.1	Bacillus australimaris
GCF_921008455.1	Bacillus basilensis
GCF_014207535.1	Bacillus benzoevorans
GCF_000299035.1	Bacillus bingmayongensis
GCF_037144555.1	Bacillus bombysepticus
GCF_037104725.1	Bacillus bruguierae
GCF_004124315.2	Bacillus cabrialesii
GCF_002860125.1	Bacillus canaveralius
GCF_017832095.1	Bacillus capparidis
GCF_039522365.1	Bacillus carboniphilus
GCF_046524075.1	Bacillus cereus ATCC 14579
GCF_027706145.1	Bacillus changyiensis
GCF_042651685.1	Bacillus chungangensis
GCF_000504145.1	Bacillus cihuensis
GCF_000746925.1	Bacillus clarus
GCF_001516895.1	Bacillus coahuilensis p1.1.43
GCF_000017425.1	Bacillus cytotoxicus NVH 391-98
GCF_042654445.1	Bacillus daqingensis
GCF_006494425.1	Bacillus dicomae
GCF_016908875.1	Bacillus ectoiniformans
GCF_012955605.1	Bacillus fonticola
GCF_002746455.1	Bacillus fungorum
GCF_001590835.1	Bacillus gaemokensis
GCF_004103615.1	Bacillus glycinifermentans
GCF_001278705.1	Bacillus gobiensis
GCF_013179555.1	Bacillus haikouensis
GCF_048270625.1	Bacillus haimaensis
GCF_004006435.1	Bacillus halotolerans
GCF_014042035.1	Bacillus haynesii
GCF_030348325.1	Bacillus hominis
GCF_023238325.1	Bacillus inaquosorum
GCF_040703065.1	Bacillus infantis
GCF_037201805.1	Bacillus kandeliae
GCF_001375515.1	Bacillus kwashiorkori
