GCF_000402035.1	Caballeronia insecticola
GCF_046030135.1	Caballeronia jiangsuensis
GCF_001028175.1	Caballeronia mineralivorans PML1(12)
GCF_900258035.1	Caballeronia novacaledonica
GCF_001544915.2	Caballeronia pedi
GCF_001545075.1	Caballeronia ptereochthonis
GCF_001544455.2	Caballeronia sordidicola
GCF_001544495.1	Caballeronia telluris
GCF_001544795.2	Caballeronia temeraria
GCF_001544515.1	Caballeronia terrestris
GCF_001544555.2	Caballeronia udeis
GCF_022879815.1	Caballeronia zhejiangensis
GCF_019239235.1	Caecibacteroides pullorum
GCF_002803295.2	Caedibacter taeniospiralis
GCF_002003465.1	Caenibacillus caldisaponilyticus
GCF_037154085.1	Caenibius fulvus
GCF_003860345.1	Caenibius tardaugens NBRC 16725
GCF_025943965.1	Caenicola nitritireducens
GCF_015831345.1	Caenimonas aquaedulcis
GCF_009646335.1	Caenimonas koreensis DSM 17982
GCF_007833165.1	Caenimonas sedimenti
GCF_013155545.1	Caenimonas soli
GCF_042655405.1	Caenimonas terrae
GCF_039523075.1	Caenispirillum bisanense
GCF_000315795.1	Caenispirillum salinarum AK4
GCF_030813115.1	Caldalkalibacillus horti
GCF_000615945.1	Caldalkalibacillus mannanilyticus JCM 10596
GCF_016745835.1	Caldalkalibacillus salinus
GCF_019856495.1	Caldalkalibacillus thermarum TA2.A1
GCF_030814135.1	Caldalkalibacillus uzonensis
GCF_000007085.1	Caldanaerobacter subterraneus subsp. tengcongensis MB4
GCF_900129075.1	Caldanaerobius fijiensis DSM 17918
GCF_000427425.1	Caldanaerobius polysaccharolyticus DSM 13641
GCF_900142995.1	Caldanaerovirga acetigignens
GCF_002207765.1	Calderihabitans maritimus
GCF_000383875.1	Caldibacillus debilis DSM 16016
GCF_000166695.1	Caldicellulosiruptor acetigenus I77R1B
GCF_000022325.1	Caldicellulosiruptor bescii DSM 6725
GCF_003999255.1	Caldicellulosiruptor changbaiensis
GCF_000166355.1	Caldicellulosiruptor hydrothermalis 108
GCF_000166775.1	Caldicellulosiruptor kronotskyensis 2002
GCF_026810225.1	Caldicellulosiruptor morganii
GCF_026914285.1	Caldicellulosiruptor naganoensis
GCF_000145215.1	Caldicellulosiruptor obsidiansis OB47
GCF_000166335.1	Caldicellulosiruptor owensensis OL
GCF_000016545.1	Caldicellulosiruptor saccharolyticus DSM 8903
GCF_011290485.1	Caldichromatium japonicum
GCF_023838525.1	Caldicoprobacter algeriensis
GCF_900115765.1	Caldicoprobacter faecalis
GCF_016908415.1	Caldicoprobacter guelmensis
GCF_039654145.1	Caldifermentibacillus hisashii
GCF_000281175.1	Caldilinea aerophila DSM 14535 = NBRC 104270
GCF_001548275.1	Caldimicrobium thiodismutans
GCF_026013905.1	Caldimonas aquatica
GCF_001017435.1	Caldimonas brevitalea
GCF_002930615.1	Caldimonas caldifontis
GCF_000381125.1	Caldimonas manganoxidans ATCC BAA-369
GCF_023721835.1	Caldimonas mangrovi
GCF_001592165.1	Caldimonas taiwanensis NBRC 104434
GCF_003569765.1	Caldimonas tepidiphila
GCF_015476235.1	Caldimonas thermodepolymerans
GCF_025999835.1	Caldinitratiruptor microaerophilus
GCF_000387765.1	Caldisalinibacter kiritimatiensis
GCF_000284335.1	Caldisericum exile AZM16c01
GCF_014646935.1	Calditerricola satsumensis
GCF_054654135.1	Calditerricola yamamurae
GCF_000183405.1	Calditerrivibrio nitroreducens DSM 19672
GCF_001886815.1	Caldithrix abyssi DSM 13497
GCF_019458025.1	Caldovatus aquaticus
GCF_014644455.1	Caldovatus sediminis
GCF_013303125.1	Calidifontibacillus erzurumensis
GCF_000331575.1	Calidifontibacillus oryziterrae
GCF_003386865.1	Calidifontibacter indicus
GCF_054778835.1	Calidifontibacter terrae
GCF_000430045.1	Calidithermus chliarophilus DSM 9957
GCF_003574095.1	Calidithermus roseus
GCF_003574345.1	Calidithermus terrae
GCF_000373205.1	Calidithermus timidus DSM 17022
GCF_000297115.1	Caloramator australicus RC3
GCF_900108045.1	Caloramator fervidus
GCF_001440545.1	Caloramator mitchellensis
GCF_900129265.1	Caloramator proteoclasticus DSM 10124
GCF_900167605.1	Caloramator quimbayensis
GCF_900129995.1	Caloranaerobacter azorensis DSM 13643
GCF_001730685.1	Caloranaerobacter ferrireducens
GCF_050286925.1	Caloranaerobacter longqiensis
GCF_008274215.1	Calorimonas adulescens
GCF_014696435.1	Calothrix anomala FACHB-343
GCF_014696555.1	Calothrix parietina FACHB-288
GCF_900185595.1	Calothrix rhizosoleniae SC01
GCF_007745435.1	Calycomorphotria hydatis
GCF_042432745.1	Camelimonas abortus
GCF_014656355.1	Camelimonas fluminis
GCF_042685445.1	Camelimonas lactis
GCF_042654185.1	Camelliibacillus cellulosilyticus
GCF_005843985.1	Caminibacter mediatlanticus TB-2
GCF_005083985.2	Caminibacter pacificus
GCF_054657155.1	Caminibacter profundus
GCF_003609595.1	Caminicella sporogenes
GCF_018145655.1	Campylobacter anatolicus
GCF_013372105.1	Campylobacter armoricus
GCF_005406215.1	Campylobacter aviculae
GCF_002238335.1	Campylobacter avium LMG 24591
GCF_041735015.1	Campylobacter bilis
GCF_013201895.1	Campylobacter blaseri
GCF_004803835.1	Campylobacter californiensis
GCF_013177655.1	Campylobacter canadensis
GCF_045504005.1	Campylobacter canis
GCF_009730395.1	Campylobacter coli
GCF_001298465.1	Campylobacter concisus
GCF_013201645.1	Campylobacter corcagiensis
GCF_002104335.1	Campylobacter cuniculorum DSM 23162 = LMG 24588
GCF_013372125.1	Campylobacter curvus
GCF_002139915.1	Campylobacter devanensis
GCF_005406205.1	Campylobacter estrildidarum
GCF_030250085.1	Campylobacter felis
GCF_011600945.2	Campylobacter fetus
GCF_030249845.1	Campylobacter gastrosuis
GCF_013201685.1	Campylobacter geochelonis
GCF_001190745.1	Campylobacter gracilis
GCF_002080395.1	Campylobacter helveticus
GCF_001687475.2	Campylobacter hepaticus
GCF_000017585.1	Campylobacter hominis ATCC BAA-381
GCF_013372165.1	Campylobacter hyointestinalis subsp. lawsonii
GCF_000736415.1	Campylobacter iguaniorum
GCF_000816185.1	Campylobacter insulaenigrae NCTC 12927
GCF_000009085.1	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
GCF_002139935.1	Campylobacter lanienae NCTC 13004
GCF_008245025.1	Campylobacter lari subsp. concheus
GCF_028649595.1	Campylobacter magnus
GCF_905120465.1	Campylobacter majalis
GCF_014253065.1	Campylobacter massiliensis
GCF_020136095.1	Campylobacter molothri
GCF_013372205.1	Campylobacter mucosalis
GCF_018968685.1	Campylobacter novaezeelandiae
GCF_013201605.1	Campylobacter ornithocola
GCF_000816785.1	Campylobacter peloridis LMG 23910
GCF_002021985.1	Campylobacter pinnipediorum subsp. caledonicus
GCF_002139855.1	Campylobacter porcelli
GCF_009690845.1	Campylobacter portucalensis
GCF_004803795.1	Campylobacter rectus
GCF_004803815.1	Campylobacter showae
GCF_008245005.1	Campylobacter sputorum subsp. sputorum
GCF_000816305.1	Campylobacter subantarcticus LMG 24377
GCF_905120475.1	Campylobacter suis
GCF_005406225.1	Campylobacter taeniopygiae
GCF_006864425.1	Campylobacter troglodytis
GCF_013372245.1	Campylobacter upsaliensis RM3940
GCF_013372225.1	Campylobacter ureolyticus
GCF_002139875.1	Campylobacter vicugnae
GCF_008245045.1	Campylobacter volucris
GCF_014217995.1	Campylobacter vulpis
GCF_021057185.1	Candidatus Absconditicoccus praedator
GCF_900089955.1	Candidatus Accumulibacter aalborgensis
GCF_036625285.1	Candidatus Accumulibacter contiguus
GCF_000024165.1	Candidatus Accumulibacter phosphatis
GCF_052117205.1	Candidatus Agathobaculum pullicola
GCF_900491745.1	Candidatus Amarolinea aalborgensis
GCF_000020565.1	Candidatus Amoebophilus asiaticus 5a2
GCF_003956045.1	Candidatus Annandia adelgestsuga
GCF_020541245.1	Candidatus Annandia pinicola
GCF_003953955.1	Candidatus Aquarickettsia rohweri
GCF_910589745.1	Candidatus Arcticimaribacter forsetii
GCF_001534665.1	Candidatus Arsenophonus lipoptenae
GCF_045346035.1	Candidatus Arsenophonus nilaparvatae
GCF_001640365.1	Candidatus Arsenophonus triatominarum
GCF_000025125.1	Candidatus Atelocyanobacterium thalassa isolate ALOHA
GCF_002159705.1	Candidatus Avelusimicrobium gallicola
GCF_902860225.1	Candidatus Azoamicus ciliaticola
GCF_000010645.1	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2
GCF_000513475.1	Candidatus Babela massiliensis
GCF_024793055.1	Candidatus Bacteroides intestinigallinarum
GCF_034359465.1	Candidatus Bandiella euplotis
GCF_029981845.1	Candidatus Bandiella numerosa
GCF_000278135.1	Candidatus Bartonella washoeensis Sb944nv
GCF_036670005.1	Candidatus Bealeia paramacronuclearis
GCF_001431295.2	Candidatus Berkiella aquae
GCF_001431315.2	Candidatus Berkiella cookevillensis
GCF_902375265.1	Candidatus Blastococcus massiliensis
GCF_023585725.1	Candidatus Blochmanniella camponoti
GCF_000331065.1	Candidatus Blochmanniella chromaiodes str. 640
GCF_000011745.1	Candidatus Blochmanniella pennsylvanica str. BPEN
GCF_000185985.2	Candidatus Blochmanniella vafra str. BVAF
GCF_014896945.1	Candidatus Bodocaedibacter vickermanii
GCF_004134775.1	Candidatus Borkfalkia ceftriaxoniphila
GCF_027925085.1	Candidatus Borrelia fainii
GCF_003076595.1	Candidatus Borreliella tachyglossi
GCF_900184705.1	Candidatus Brevifilum fermentans
GCF_001753675.2	Candidatus Brocadia sapporoensis
GCF_000949635.1	Candidatus Brocadia sinica JPN1
GCF_001189365.1	Candidatus Burkholderia verschuerenii
GCF_050267035.1	Candidatus Caldatribacterium saccharofermentans
GCF_013416015.1	Candidatus Campylobacter infans
GCF_003176915.1	Candidatus Cardinium hertigii
GCF_000287275.1	Candidatus Carsonella ruddii HC isolate Thao2000
GCF_033962415.1	Candidatus Cetobacterium colombiensis
GCF_002817655.1	Candidatus Chlamydia corallus
GCF_001653975.1	Candidatus Chlamydia sanziniae
GCF_011601315.1	Candidatus Chlorobium masyuteum
GCF_030389965.1	Candidatus Chlorohelix allophototropha
GCF_002532075.1	Candidatus Chloroploca asiatica
GCF_004762035.2	Candidatus Chloroploca mongolica
