GCF_000018865.1	Chloroflexus aurantiacus J-10-fl
GCF_001650695.1	Chloroflexus islandicus
GCF_000317285.1	Chlorogloeopsis fritschii PCC 6912
GCF_000020525.1	Chloroherpeton thalassium ATCC 35110
GCF_026250525.1	Chondrinema litorale
GCF_000601485.1	Chondromyces apiculatus DSM 436
GCF_001189295.1	Chondromyces crocatus
GCF_019355395.1	Chordicoccus furentiruminis
GCF_004342745.1	Christensenella hongkongensis
GCF_001678845.1	Christensenella intestinihominis
GCF_040409835.1	Christensenella massiliensis
GCF_003628755.1	Christensenella minuta
GCF_014287795.1	Christensenella tenuis
GCF_900087015.1	Christensenella timonensis
GCF_039541495.1	Christiangramia aestuarii
GCF_042685965.1	Christiangramia antarctica
GCF_048285835.1	Christiangramia aquimixticola
GCF_022410465.1	Christiangramia crocea
GCF_000423065.1	Christiangramia echinicola DSM 19838
GCF_001951155.1	Christiangramia flava JLT2011
GCF_000060345.1	Christiangramia forsetii KT0803
GCF_003024155.1	Christiangramia fulva
GCF_003054225.1	Christiangramia gaetbulicola
GCF_022489035.1	Christiangramia lutea
GCF_048285865.1	Christiangramia marina
GCF_022570735.2	Christiangramia oceanisediminis
GCF_000423045.1	Christiangramia portivictoriae DSM 23547
GCF_007050985.1	Christiangramia sabulilitoris
GCF_001889005.1	Christiangramia salexigens
GCF_031344135.1	Christiangramia sediminicola
GCF_020552705.1	Christiangramia sediminis
GCF_016583745.1	Chromatium okenii
GCF_004340525.1	Chromatocurvus halotolerans
GCF_016937655.1	Chromobacterium alkanivorans
GCF_002924365.1	Chromobacterium alticapitis
GCF_001855565.1	Chromobacterium amazonense
GCF_021129195.1	Chromobacterium aquaticum
GCF_011602385.1	Chromobacterium fluminis
GCF_009936155.1	Chromobacterium haemolyticum
GCF_039708975.1	Chromobacterium indicum
GCF_008275125.1	Chromobacterium paludis
GCF_003325475.1	Chromobacterium phragmitis
GCF_042430095.1	Chromobacterium piscinae
GCF_020544465.1	Chromobacterium rhizoryzae
GCF_002902845.1	Chromobacterium sinusclupearum
GCF_001855575.1	Chromobacterium sphagni
GCF_036320555.1	Chromobacterium subtsugae
GCF_001855275.1	Chromobacterium vaccinii
GCF_016890085.1	Chromobacterium violaceum
GCF_023061185.1	Chromohalobacter beijerinckii
GCF_034479555.1	Chromohalobacter canadensis
GCF_000055785.1	Chromohalobacter israelensis DSM 3043
GCF_023061175.1	Chromohalobacter japonicus
GCF_004364315.1	Chromohalobacter marismortui
GCF_023091865.1	Chromohalobacter moromii
GCF_023061285.1	Chromohalobacter nigrandesensis
GCF_023061135.1	Chromohalobacter sarecensis
GCF_003991895.1	Chroococcidiopsis cubana SAG 39.79
GCF_000317125.1	Chroococcidiopsis thermalis PCC 7203
GCF_001904655.1	Chroogloeocystis siderophila 5.2 s.c.1
GCF_022699665.1	Chryseobacterium aahli
GCF_001045465.1	Chryseobacterium angstadtii
GCF_012927325.1	Chryseobacterium antibioticum
GCF_905175375.1	Chryseobacterium aquaeductus
GCF_001507325.1	Chryseobacterium aquaticum subsp. greenlandense
GCF_006716485.1	Chryseobacterium aquifrigidense
GCF_900129245.1	Chryseobacterium arachidis
GCF_020872015.1	Chryseobacterium arthrosphaerae
GCF_001684975.1	Chryseobacterium artocarpi
GCF_003020585.1	Chryseobacterium aurantiacum
GCF_003971235.1	Chryseobacterium aureum
GCF_003815995.1	Chryseobacterium balustinum
GCF_003815975.1	Chryseobacterium bernardetii
GCF_007474545.1	Chryseobacterium binzhouense
GCF_002770595.1	Chryseobacterium camelliae
GCF_004916905.1	Chryseobacterium candidae
GCF_021278965.1	Chryseobacterium capnotolerans
GCF_003815695.1	Chryseobacterium carnipullorum
GCF_014837145.1	Chryseobacterium caseinilyticum
GCF_012927265.1	Chryseobacterium cheonjiense
GCF_900142615.1	Chryseobacterium contaminans
GCF_003729985.1	Chryseobacterium cucumeris
GCF_900108365.1	Chryseobacterium culicis
GCF_046614675.1	Chryseobacterium cupriresistens
GCF_003729955.1	Chryseobacterium daecheongense
GCF_000430825.1	Chryseobacterium daeguense DSM 19388
GCF_003634775.1	Chryseobacterium defluvii
GCF_007474535.1	Chryseobacterium echinoideorum
GCF_025628985.1	Chryseobacterium edaphi
GCF_003385495.1	Chryseobacterium elymi
GCF_016745235.1	Chryseobacterium endalhagicum
GCF_902729325.1	Chryseobacterium fistulae
GCF_003385595.1	Chryseobacterium flavum
GCF_026314945.1	Chryseobacterium fluminis
GCF_025457425.1	Chryseobacterium foetidum
GCF_900116415.1	Chryseobacterium formosense
GCF_026460885.1	Chryseobacterium formosus
GCF_001021975.1	Chryseobacterium gallinarum
GCF_027920505.1	Chryseobacterium gambrini
GCF_002797535.1	Chryseobacterium geocarposphaerae
GCF_025628965.1	Chryseobacterium gilvum
GCF_039542325.1	Chryseobacterium ginsengisoli
GCF_039536845.1	Chryseobacterium ginsenosidimutans
GCF_001648155.1	Chryseobacterium glaciei
GCF_016766875.1	Chryseobacterium gleum
GCF_041361455.1	Chryseobacterium gossypii
GCF_030012525.1	Chryseobacterium gotjawalense
GCF_000430845.1	Chryseobacterium gregarium DSM 19109
GCF_021311115.1	Chryseobacterium gwangjuense
GCF_007991455.1	Chryseobacterium hagamense
GCF_025154075.1	Chryseobacterium herbae
GCF_000708615.2	Chryseobacterium hispalense DSM 25574
GCF_021504595.1	Chryseobacterium indicum
GCF_900460995.1	Chryseobacterium indologenes
GCF_003815915.1	Chryseobacterium indoltheticum
