GCF_900168015.1	Daejeonella lutea
GCF_000422945.1	Daejeonella oryzae DSM 19973
GCF_900103545.1	Daejeonella rubra
GCF_001182045.1	Dakarella massiliensis
GCF_004355005.1	Dankookia rubra
GCF_041060425.1	Danxiaibacter flavus
GCF_000373485.1	Dasania marina DSM 21967
GCF_026891035.1	Dasania phycosphaerae
GCF_018598175.1	Dawidia cretensis
GCF_018598185.1	Dawidia soli
GCF_000519045.1	Dechloromonas agitata is5
GCF_041378895.1	Dechloromonas aquae
GCF_001551835.1	Dechloromonas denitrificans
GCF_022012295.1	Dechloromonas hankyongensis
GCF_009469765.1	Dechloromonas hortensis
GCF_016881405.1	Deefgea chitinilytica
GCF_013284055.1	Deefgea piscis
GCF_000620145.1	Deefgea rivuli DSM 18356
GCF_020531905.1	Deefgea salmonis
GCF_019665765.1	Deefgea tanakiae
GCF_049472655.1	Deferribacter abyssi
GCF_008362905.1	Deferribacter autotrophicus
GCF_000010985.1	Deferribacter desulfuricans SSM1
GCF_049472675.1	Deferribacter thermophilus
GCF_000526155.1	Deferrisoma camini S3R1
GCF_054656955.1	Deferrisoma palaeochoriense
GCF_020480685.1	Deferrivibrio essentukiensis
GCF_014672695.1	Defluviicoccus vanus
GCF_026013545.1	Defluviimonas salinarum
GCF_001466305.1	Defluviitalea phaphyphila
GCF_009765695.1	Defluviitalea raffinosedens
GCF_038396635.1	Defluviitalea saccharophila
GCF_000953715.1	Defluviitoga tunisiensis
GCF_000512895.1	Dehalobacter restrictus DSM 9455
GCF_002224645.1	Dehalobacterium formicoaceticum
GCF_000011905.1	Dehalococcoides mccartyi 195
GCF_001466665.1	Dehalogenimonas alkenigignens
GCF_014672715.2	Dehalogenimonas etheniformans
GCF_001953175.1	Dehalogenimonas formicexedens
GCF_014202645.1	Deinobacterium chartae
GCF_001507665.1	Deinococcus actinosclerus
GCF_002897375.1	Deinococcus aerius
GCF_014647055.1	Deinococcus aerolatus
GCF_014647075.1	Deinococcus aerophilus
GCF_018863415.1	Deinococcus aestuarii
GCF_025997855.1	Deinococcus aetherius
GCF_009982895.1	Deinococcus alpinitundrae
GCF_045784255.1	Deinococcus altitudinis
GCF_039545155.1	Deinococcus aluminii
GCF_042649355.1	Deinococcus antarcticus
GCF_000381345.1	Deinococcus apachensis DSM 19763
GCF_019693445.1	Deinococcus aquaedulcis
GCF_028622095.1	Deinococcus aquaticus
GCF_000378445.1	Deinococcus aquatilis DSM 23025
GCF_014646915.1	Deinococcus aquiradiocola
GCF_009755355.1	Deinococcus arboris
GCF_003028415.1	Deinococcus arcticus
GCF_014647995.1	Deinococcus arenae
GCF_033088415.1	Deinococcus arenicola
GCF_020166395.1	Deinococcus betulae
GCF_014201885.1	Deinococcus budaensis
GCF_039544935.1	Deinococcus caeni
GCF_039545055.1	Deinococcus carri
GCF_003590815.1	Deinococcus cavernae
GCF_007990775.1	Deinococcus cellulosilyticus NBRC 106333 = KACC 11606
GCF_014647175.1	Deinococcus daejeonensis
GCF_039522025.1	Deinococcus depolymerans
GCF_000020685.1	Deinococcus deserti VCD115
GCF_007280555.1	Deinococcus detaillensis
GCF_030804085.1	Deinococcus enclensis
GCF_003444775.1	Deinococcus ficus
GCF_004634215.1	Deinococcus fonticola
GCF_000701425.1	Deinococcus frigens DSM 12807
GCF_000196275.1	Deinococcus geothermalis DSM 11300
GCF_000252445.1	Deinococcus gobiensis I-0
GCF_001485435.1	Deinococcus grandis
GCF_042653785.1	Deinococcus hohokamensis
GCF_900176165.1	Deinococcus hopiensis KR-140
GCF_014201875.1	Deinococcus humi
GCF_002198095.1	Deinococcus indicus
GCF_003173015.1	Deinococcus irradiatisoli
GCF_014648155.1	Deinococcus knuensis
GCF_002901445.1	Deinococcus koreensis
GCF_009687825.1	Deinococcus kurensis
GCF_042661385.1	Deinococcus lacus
GCF_036543075.1	Deinococcus lichenicola
GCF_014647655.1	Deinococcus malanensis
GCF_000186385.1	Deinococcus maricopensis DSM 21211
GCF_000701405.1	Deinococcus marmoris DSM 12784
GCF_042648985.1	Deinococcus metalli
GCF_004758605.1	Deinococcus metallilatus
GCF_000745915.1	Deinococcus misasensis DSM 22328
GCF_020166415.1	Deinococcus multiflagellatus
GCF_000482805.1	Deinococcus murrayi DSM 11303
GCF_042653905.1	Deinococcus navajonensis
GCF_042431605.1	Deinococcus oregonensis
GCF_000317835.1	Deinococcus peraridilitoris DSM 19664
GCF_042656085.1	Deinococcus petrolearius
GCF_000599865.1	Deinococcus phoenicis
GCF_000519345.1	Deinococcus pimensis DSM 21231
GCF_014653275.1	Deinococcus piscis
GCF_002869765.1	Deinococcus planocerae
GCF_000190555.1	Deinococcus proteolyticus MRP
GCF_003860465.1	Deinococcus psychrotolerans
GCF_001644565.1	Deinococcus puniceus
GCF_020546685.1	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539
GCF_045784305.1	Deinococcus radiomollis
GCF_020889625.1	Deinococcus radiophilus
GCF_000800395.1	Deinococcus radiopugnans
GCF_014647435.1	Deinococcus radiotolerans
GCF_900109185.1	Deinococcus reticulitermitis
GCF_030271215.1	Deinococcus rhizophilus
GCF_014646895.1	Deinococcus roseus
GCF_025244745.1	Deinococcus rubellus
GCF_014648095.1	Deinococcus ruber
GCF_042649445.1	Deinococcus rufus
GCF_050341015.1	Deinococcus saxicola
GCF_014648135.1	Deinococcus sedimenti
GCF_014648115.1	Deinococcus seoulensis
GCF_040256395.1	Deinococcus sonorensis KR-87
GCF_020229735.1	Deinococcus taeanensis
GCF_042685025.1	Deinococcus taklimakanensis
GCF_009377345.1	Deinococcus terrestris
GCF_011067105.1	Deinococcus wulumuqiensis R12
GCF_009834985.1	Deinococcus xianganensis
GCF_040361885.1	Deinococcus xinjiangensis
GCF_003217515.1	Deinococcus yavapaiensis KR-236
GCF_046774955.1	Deinococcus yunweiensis
GCF_000018665.1	Delftia acidovorans SPH-1
GCF_042653485.1	Delftia deserti
GCF_040267515.1	Delftia lacustris
GCF_029215875.1	Delftia tsuruhatensis
GCF_030127605.1	Dellaglioa algida
GCF_026948345.1	Dellaglioa carnosa
GCF_046115505.1	Dellaglioa kimchii
GCF_016862815.1	Demequina activiva
GCF_000975095.1	Demequina aestuarii
GCF_000975135.1	Demequina aurantiaca
GCF_032102965.1	Demequina capsici
GCF_000975035.1	Demequina flava
GCF_000971115.1	Demequina gelatinilytica
GCF_000975155.1	Demequina globuliformis
GCF_000971395.1	Demequina iriomotensis
GCF_030418375.1	Demequina lignilytica
GCF_030418455.1	Demequina litoralis
GCF_030161615.1	Demequina litorisediminis
GCF_013409005.1	Demequina lutea
GCF_900109245.1	Demequina mangrovi
GCF_000971155.1	Demequina maris
GCF_030418295.1	Demequina muriae
GCF_000975115.1	Demequina oxidasica
GCF_000971175.1	Demequina pelophila
GCF_000971135.1	Demequina phytophila
GCF_000971255.1	Demequina rhizosphaerae
GCF_000974805.1	Demequina salsinemoris
GCF_000975055.1	Demequina sediminicola
GCF_039545075.1	Demequina sediminis
GCF_000971215.1	Demequina silvatica
GCF_000971195.1	Demequina soli
GCF_000971235.1	Demequina subtropica
GCF_030418315.1	Demequina zhanjiangensis
GCF_000376825.1	Demetria terragena DSM 11295
GCF_003412455.1	Deminuibacter soli
GCF_016056275.1	Dendronalium phyllosphericum CENA369
