GCF_000715015.1	Erythrobacter longus
GCF_013260645.1	Erythrobacter mangrovi
GCF_001663175.1	Erythrobacter neustonensis
GCF_030271515.1	Erythrobacter oryzae
GCF_014195675.1	Erythrobacter ramosus
GCF_014705715.1	Erythrobacter rubeus
GCF_900143235.1	Erythrobacter sanguineus
GCF_002155695.1	Erythrobacter tepidarius
GCF_039542285.1	Erythrobacter westpacificensis
GCF_028622335.1	Escherichia albertii
GCF_000008865.2	Escherichia coli O157:H7 str. Sakai
GCF_000005845.2	Escherichia coli str. K-12 substr. MG1655
GCF_020097475.1	Escherichia fergusonii
GCF_029962465.1	Escherichia marmotae
GCF_031323975.1	Escherichia ruysiae
GCF_014836715.1	Escherichia whittamii
GCF_025148445.1	Eshraghiella crossota
GCF_900000175.1	Estrella lausannensis
GCF_000178115.2	Ethanoligenens harbinense YUAN-3
GCF_900107815.1	Eubacterium aggregans
GCF_025336545.1	Eubacterium album
GCF_900107125.1	Eubacterium barkeri
GCF_000152245.2	Eubacterium callanderi
GCF_900167205.1	Eubacterium coprostanoligenes
GCF_000807675.2	Eubacterium limosum
GCF_002441855.2	Eubacterium maltosivorans
GCF_030813415.1	Eubacterium multiforme
GCF_900104415.1	Eubacterium oxidoreducens
GCF_900102225.1	Eubacterium pyruvativorans
GCF_045002895.1	Eubacterium ramulus
GCF_900167085.1	Eubacterium ruminantium
GCF_014287775.1	Eubacterium segne
GCF_900167115.1	Eubacterium uniforme
GCF_003475105.1	Eubacterium ventriosum
GCF_000518685.1	Eubacterium xylanophilum ATCC 35991
GCF_000382125.1	Eudoraea adriatica DSM 19308
GCF_029360665.1	Eudoraea chungangensis
GCF_007904085.1	Euhalothece natronophila Z-M001
GCF_963930865.1	Eupransor demetentiae
GCF_000412185.1	Euryhalocaulis caribicus
GCF_003344865.1	Euzebya pacifica
GCF_003073135.1	Euzebya rosea
GCF_003074135.1	Euzebya tangerina
GCF_003687485.1	Euzebyella marina
GCF_014855495.1	Euzebyella saccharophila
GCF_019042735.1	Evansella alkalicola
GCF_000177235.2	Evansella cellulosilytica DSM 2522
GCF_002019695.1	Evansella clarkii
GCF_002335745.1	Evansella halocellulosilytica
GCF_019042215.1	Evansella tamaricis
GCF_030813435.1	Evansella vedderi
GCF_008121455.1	Evtepia gabavorous
GCF_008693045.1	Ewingella americana
GCF_029577735.1	Exercitatus varius
GCF_015645365.1	Exiguobacterium abrahamii
GCF_018604565.1	Exiguobacterium acetylicum
GCF_042663205.1	Exiguobacterium aestuarii
GCF_018617875.1	Exiguobacterium algae
GCF_018138125.1	Exiguobacterium alkaliphilum
GCF_000685865.1	Exiguobacterium antarcticum DSM 14480
GCF_000702585.1	Exiguobacterium aurantiacum DSM 6208
GCF_000416965.1	Exiguobacterium chiriqhucha RW-2
GCF_003344535.1	Exiguobacterium flavidum
GCF_025234715.1	Exiguobacterium himgiriensis
GCF_001939065.1	Exiguobacterium indicum HHS 31
GCF_000620845.1	Exiguobacterium marinum DSM 16307
GCF_025234795.1	Exiguobacterium mexicanum
GCF_000702625.1	Exiguobacterium oxidotolerans JCM 12280
GCF_042652865.1	Exiguobacterium profundum
GCF_018617855.1	Exiguobacterium qingdaonense
GCF_000019905.1	Exiguobacterium sibiricum 255-15
GCF_000620805.1	Exiguobacterium undae DSM 14481
GCF_007004655.1	Exilibacterium tricleocarpae
GCF_005747095.1	Exobacillus caeni
GCF_007655255.1	Extensimonas perlucida
GCF_029211265.1	Extensimonas soli
GCF_003337425.1	Extensimonas vulgaris
GCF_004345005.1	Extibacter muris
GCF_003096635.1	Ezakiella coagulans
GCF_900120165.1	Ezakiella massiliensis
GCF_900215725.1	Ezakiella peruensis
GCF_003574485.1	Facilibium subflavum
GCF_040560405.1	Facivitalis istanbulensis
GCF_000301035.1	Facklamia hominis CCUG 36813
GCF_015863205.1	Facklamia lactis
GCF_000245795.1	Facklamia languida CCUG 37842
GCF_900100775.1	Facklamia miroungae
GCF_003024675.1	Faecalibacillus faecis
GCF_015097455.1	Faecalibacillus intestinalis
GCF_017948305.1	Faecalibacter bovis
GCF_003687725.1	Faecalibacter macacae
GCF_015234135.1	Faecalibacter rhinopitheci
GCF_020687345.1	Faecalibacterium butyricigenerans
GCF_010509575.1	Faecalibacterium duncaniae
GCF_040096475.1	Faecalibacterium faecis
GCF_022180365.1	Faecalibacterium gallinarum
GCF_003287455.1	Faecalibacterium hattorii
GCF_040096575.1	Faecalibacterium intestinale
GCF_002549775.1	Faecalibacterium langellae
GCF_040094125.1	Faecalibacterium longum
GCF_000154385.1	Faecalibacterium prausnitzii M21/2
GCF_036632915.2	Faecalibacterium taiwanense
GCF_040096515.1	Faecalibacterium tardum
GCF_037478275.1	Faecalibacterium wellingii
GCF_001564455.1	Faecalibaculum rodentium
GCF_025567175.1	Faecalicatena acetigenes
GCF_022835095.1	Faecalicatena contorta
GCF_012524165.2	Faecalicatena faecalis
GCF_016900595.1	Faecalicatena fissicatena
GCF_905197545.1	Faecalicatena orotica
GCF_030372305.1	Faecalicoccus acidiformans
GCF_900459315.1	Faecalicoccus pleomorphus
GCF_000499525.1	Faecalimicrobium dakarense
GCF_042846195.1	Faecalimonas umbilicata
GCF_947568225.1	Faecalispora anaeroviscerum
GCF_000577335.1	Faecalispora jeddahensis
GCF_000383295.1	Faecalispora sporosphaeroides DSM 1294
GCF_028321995.1	Faecalitalea cylindroides
GCF_040096185.1	Faecousia intestinalis
GCF_031456275.1	Falsarthrobacter nasiphocae
GCF_002847645.1	Falseniella ignava
GCF_003668575.1	Falsibacillus albus
GCF_003350505.1	Falsibacillus pallidus
GCF_003863335.1	Falsigemmobacter faecalis
GCF_004054105.1	Falsigemmobacter intermedius
GCF_000812665.2	Falsihalocynthiibacter arcticus
GCF_042654485.1	Falsiporphyromonas endometrii
GCF_018279165.1	Falsirhodobacter algicola
GCF_004015795.1	Falsirhodobacter deserti
GCF_022899245.1	Falsirhodobacter halotolerans
GCF_004959935.1	Falsirhodobacter xinxiangensis
GCF_011040385.1	Falsiroseomonas algicola
GCF_003173615.1	Falsiroseomonas bella
GCF_012163145.1	Falsiroseomonas frigidaquae
GCF_019029495.1	Falsiroseomonas oleicola
GCF_027856955.1	Falsiroseomonas oryzae
GCF_021864505.1	Falsiroseomonas oryziterrae
GCF_016805305.1	Falsiroseomonas ponticola
GCF_012103215.1	Falsiroseomonas selenitidurans
GCF_900114315.1	Falsiroseomonas stagni DSM 19981
GCF_019024325.1	Falsiroseomonas tokyonensis
GCF_900172225.1	Falsiruegeria litorea R37
GCF_900537105.1	Falsiruegeria mediterranea
GCF_003259955.1	Falsochrobactrum ovis
GCF_003149535.1	Falsochrobactrum shanghaiense
GCF_019100495.1	Falsochrobactrum tianjinense
GCF_000379445.1	Fangia hongkongensis FSC776 = DSM 21703
GCF_016026575.1	Fannyhessea vaginae
GCF_003428155.1	Fastidiosibacter lacustris
GCF_002998295.1	Fastidiosipila sanguinis
GCF_900453305.1	Faucicola atlantae
GCF_046523945.1	Faucicola mancuniensis
GCF_001553955.1	Faucicola osloensis
GCF_900110915.1	Faunimonas pinastri
GCF_014384765.1	Feifania hominis
GCF_023347705.1	Fenollaria massiliensis
GCF_943169635.2	Fenollaria sporofastidiosus
GCF_001457835.1	Fenollaria timonensis
GCF_030028905.1	Ferirhizobium litorale
GCF_011603255.1	Ferranicluibacter rubi
GCF_020510565.1	Ferribacterium limneticum
GCF_018324385.1	Ferrigenium kumadai
GCF_000949255.1	Ferrimicrobium acidiphilum DSM 19497
GCF_005116665.1	Ferrimonas aestuarii
GCF_000148645.1	Ferrimonas balearica DSM 9799
GCF_000422645.1	Ferrimonas futtsuensis DSM 18154
GCF_039544205.1	Ferrimonas gelatinilytica
GCF_000425405.1	Ferrimonas kyonanensis DSM 18153
GCF_012295575.1	Ferrimonas lipolytica
GCF_900129905.1	Ferrimonas marina
GCF_039543565.1	Ferrimonas pelagia
GCF_005116715.1	Ferrimonas sediminicola
GCF_900100175.1	Ferrimonas sediminum
GCF_000422665.1	Ferrimonas senticii DSM 18821
GCF_000974685.2	Ferriphaselus amnicola
GCF_900128965.1	Ferrithrix thermotolerans DSM 19514
GCF_002027205.1	Ferroacidibacillus organovorans
GCF_007197755.1	Ferrovibrio terrae
GCF_042648965.1	Ferrovibrio xuzhouensis
GCF_013181415.1	Ferrovum myxofaciens
GCF_020042285.1	Ferruginibacter albus
GCF_020783315.1	Ferruginibacter lapsinanis
GCF_030409685.1	Ferruginibacter paludis
GCF_042651465.1	Ferruginibacter yonginensis
GCF_003344765.1	Ferruginivarius sediminum
GCF_009380135.2	Fertoeibacter niger
GCF_026547225.1	Fervidibacillus albus
GCF_026547205.1	Fervidibacillus halotolerans
GCF_000601455.1	Fervidicella metallireducens AeB
GCF_001562425.1	Fervidicola ferrireducens
GCF_035282765.1	Ferviditalea candida
GCF_004117075.1	Fervidobacterium changbaicum
GCF_900143265.1	Fervidobacterium gondwanense DSM 13020
GCF_000767275.3	Fervidobacterium islandicum
GCF_001644665.1	Fervidobacterium ngatamarikiense
GCF_000017545.1	Fervidobacterium nodosum Rt17-B1
GCF_000235405.2	Fervidobacterium pennivorans DSM 9078
GCF_001719065.1	Fervidobacterium thailandense
GCF_000331105.1	Fibrella aestuarina BUZ 2
GCF_017353255.1	Fibrella aquatilis
GCF_017353175.1	Fibrella forsythiae
GCF_017353185.1	Fibrella rubiginis
GCF_000296815.2	Fibrisoma limi BUZ 3
GCF_003583365.1	Fibrisoma montanum
GCF_011742925.1	Fibrivirga algicola
GCF_900167415.1	Fibrobacter intestinalis
GCF_000146505.1	Fibrobacter succinogenes subsp. succinogenes S85
GCF_042432325.1	Fictibacillus aquaticus
GCF_001999465.1	Fictibacillus arsenicus
GCF_014635025.1	Fictibacillus barbaricus
GCF_900094955.1	Fictibacillus enclensis
GCF_030418125.1	Fictibacillus fluitans
GCF_000430745.1	Fictibacillus gelatini DSM 15865
GCF_016401385.1	Fictibacillus halophilus
GCF_042665465.1	Fictibacillus iocasae
GCF_000269865.1	Fictibacillus macauensis ZFHKF-1
GCF_023149135.1	Fictibacillus marinisediminis
GCF_042686385.1	Fictibacillus nanhaiensis
GCF_014836645.1	Fictibacillus norfolkensis
GCF_042432635.1	Fictibacillus phosphorivorans
GCF_900103485.1	Fictibacillus solisalsi
GCF_030412265.1	Fictibacillus terranigra
GCF_041154365.1	Fidelibacter multiformis
GCF_900609045.1	Filibacter tadaridae
GCF_000163895.2	Filifactor alocis ATCC 35896
GCF_042652965.1	Filifactor villosus
GCF_004118675.1	Filimonas effusa
GCF_002355595.1	Filimonas lacunae
GCF_014641615.1	Filimonas zeae
GCF_004402015.1	Filobacillus milosensis
GCF_900104305.1	Filomicrobium insigne
GCF_002197845.1	Fimbriiglobus ruber
GCF_000724625.1	Fimbriimonas ginsengisoli Gsoil 348
GCF_046255015.1	Finegoldia dalianensis
GCF_002243135.1	Finegoldia magna
GCF_000317205.1	Fischerella muscicola PCC 7414
GCF_000317225.1	Fischerella thermalis PCC 7521
GCF_016918765.2	Flagellatimonas centrodinii
GCF_019457905.1	Flagellimonas abyssi
GCF_003584165.1	Flagellimonas aequoris
GCF_040513375.1	Flagellimonas algarum
GCF_005937185.1	Flagellimonas algicola
GCF_004296335.1	Flagellimonas allohymeniacidonis
GCF_004916895.1	Flagellimonas alvinocaridis
GCF_003058265.1	Flagellimonas amoyensis
GCF_013090115.1	Flagellimonas amphidinii
GCF_003149745.1	Flagellimonas aquimarina
GCF_017313785.1	Flagellimonas aurea
GCF_033441575.1	Flagellimonas baculiformis
GCF_003992615.1	Flagellimonas beolgyonensis
GCF_013376415.1	Flagellimonas chongwuensis
GCF_033441595.1	Flagellimonas crocea
GCF_001413955.1	Flagellimonas eckloniae
GCF_900129665.1	Flagellimonas flava
GCF_007785775.2	Flagellimonas hadalis
GCF_035818535.1	Flagellimonas halotolerans
GCF_008040165.1	Flagellimonas hymeniacidonis
GCF_042682725.1	Flagellimonas iocasae
GCF_000963865.1	Flagellimonas lutaonensis
GCF_003581615.1	Flagellimonas lutimaris
GCF_042651185.1	Flagellimonas marina
GCF_003992675.1	Flagellimonas marinaquae
GCF_003269425.1	Flagellimonas maritima
GCF_019880545.1	Flagellimonas meishanensis
