GCF_031846345.1	Glaciecola petra
GCF_001756615.1	Glaciecola punicea
GCF_042652645.1	Glaciecola siphonariae
GCF_004681125.1	Glacieibacterium arshaanense
GCF_007097155.1	Glacieibacterium frigidum
GCF_018982885.2	Glacieibacterium megasporae
GCF_013410665.1	Glaciibacter psychrotolerans
GCF_000421145.1	Glaciibacter superstes DSM 21135
GCF_004310685.1	Glaciihabitans arcticus
GCF_003003265.1	Glaciihabitans tibetensis
GCF_011947285.1	Glaciimonas immobilis
GCF_009497155.1	Glaciimonas soli
GCF_003260095.1	Glaesserella australis
GCF_017352235.1	Glaesserella parasuis
GCF_000159015.1	Gleimia coleocanis DSM 15436
GCF_002871995.2	Gleimia europaea
GCF_032085515.1	Gleimia hominis
GCF_002847845.2	Globicatella sanguinis
GCF_900167405.1	Globicatella sulfidifaciens DSM 15739
GCF_000484535.1	Gloeobacter kilaueensis JS1
GCF_021018745.1	Gloeobacter morelensis MG652769
GCF_000011385.1	Gloeobacter violaceus PCC 7421
GCF_015207655.1	Gloeocapsopsis crepidinum LEGE 06123
GCF_032163395.1	Gloeocapsopsis dulcis
GCF_001870225.1	Gloeomargarita lithophora Alchichica-D10
GCF_000021825.1	Gloeothece citriformis PCC 7424
GCF_000147335.1	Gloeothece verrucosa PCC 7822
GCF_014174395.1	Gluconacetobacter aggeris
GCF_014174375.1	Gluconacetobacter asukensis
GCF_014174355.1	Gluconacetobacter azotocaptans
GCF_000021325.1	Gluconacetobacter diazotrophicus PA1 5
GCF_014174165.1	Gluconacetobacter dulcium
GCF_013155425.1	Gluconacetobacter entanii
GCF_025994435.1	Gluconacetobacter johannae DSM 13595
GCF_003350405.1	Gluconacetobacter liquefaciens
GCF_014174255.1	Gluconacetobacter sacchari
GCF_014174275.1	Gluconacetobacter takamatsuzukensis
GCF_014174215.1	Gluconacetobacter tumulicola
GCF_014174155.1	Gluconacetobacter tumulisoli
GCF_009547075.1	Gluconobacter aidae
GCF_002005485.1	Gluconobacter albidus
GCF_015244745.1	Gluconobacter cadivus
GCF_015244675.1	Gluconobacter cerevisiae
GCF_025961355.1	Gluconobacter cerinus
GCF_002723955.1	Gluconobacter frateurii
GCF_015244665.1	Gluconobacter japonicus
GCF_007988905.1	Gluconobacter kanchanaburiensis NBRC 103587
GCF_002723995.1	Gluconobacter kondonii
GCF_000234355.1	Gluconobacter morbifer G707
GCF_000583855.1	Gluconobacter oxydans DSM 3504
GCF_015244705.1	Gluconobacter potus
GCF_006538885.1	Gluconobacter roseus NBRC 3990
GCF_016757795.1	Gluconobacter sphaericus
GCF_007990185.1	Gluconobacter thailandicus F149-1 = NBRC 100600
GCF_015244565.1	Gluconobacter vitians
GCF_007988885.1	Gluconobacter wancherniae NBRC 103581
GCF_014644555.1	Glutamicibacter ardleyensis
GCF_000197735.1	Glutamicibacter arilaitensis Re117
GCF_039534605.1	Glutamicibacter bergerei
GCF_006094275.1	Glutamicibacter creatinolyticus
GCF_039602135.1	Glutamicibacter ectropisis
GCF_048457885.1	Glutamicibacter endophyticus
GCF_001302565.1	Glutamicibacter halophytocola
GCF_012221945.1	Glutamicibacter mishrai
GCF_002797775.1	Glutamicibacter mysorens
GCF_016907615.1	Glutamicibacter nicotianae
GCF_016894325.1	Glutamicibacter protophormiae
GCF_003309065.1	Glutamicibacter soli
GCF_006539925.1	Glutamicibacter uratoxydans
GCF_041429775.1	Glycocaulis abyssi
GCF_014639075.1	Glycocaulis albus
GCF_004000605.1	Glycocaulis alkaliphilus
GCF_009451885.1	Glycomyces albidus
GCF_031458375.1	Glycomyces algeriensis
GCF_020991375.1	Glycomyces amatae
GCF_000482705.1	Glycomyces arizonensis DSM 44726
GCF_003002955.1	Glycomyces artemisiae
GCF_004912275.1	Glycomyces buryatensis
GCF_003265355.1	Glycomyces dulcitolivorans
GCF_039531525.1	Glycomyces endophyticus
GCF_900101745.1	Glycomyces harbinensis
GCF_031458295.1	Glycomyces lechevalierae
GCF_027622875.1	Glycomyces luteolus
GCF_042428885.1	Glycomyces mayteni
GCF_017592475.1	Glycomyces niveus
