GCF_000829435.1	Jeotgalibacillus soli
GCF_016908195.1	Jeotgalibacillus terrae
GCF_903994055.1	Jeotgalicoccus aerolatus
GCF_903994065.1	Jeotgalicoccus coquinae
GCF_003387165.1	Jeotgalicoccus halotolerans
GCF_000425825.1	Jeotgalicoccus marinus DSM 19772
GCF_903994045.1	Jeotgalicoccus meleagridis
GCF_000425845.1	Jeotgalicoccus psychrophilus DSM 19085
GCF_000756715.1	Jeotgalicoccus saudimassiliensis
GCF_003003055.1	Jezberella montanilacus
GCF_900108275.1	Jhaorihella thermophila
GCF_900106035.1	Jiangella alba
GCF_900105925.1	Jiangella alkaliphila
GCF_003236295.1	Jiangella anatolica
GCF_004349065.1	Jiangella asiatica
GCF_004349105.1	Jiangella aurantiaca
GCF_003427025.1	Jiangella endophytica
GCF_000515395.1	Jiangella gansuensis DSM 44835
GCF_014204975.1	Jiangella mangrovi
GCF_001270745.1	Jiangella muralis
GCF_003579925.1	Jiangella rhizosphaerae
GCF_004348545.1	Jiangella ureilytica
GCF_020216025.1	Jidongwangia harbinensis
GCF_021390325.1	Jiella avicenniae
GCF_004519335.1	Jiella endophytica
GCF_017349315.1	Jiella flava
GCF_017815135.1	Jiella mangrovi
GCF_010500815.1	Jiella pacifica
GCF_026898155.1	Jiella pelagia
GCF_017353515.1	Jiella sonneratiae
GCF_014385165.1	Jilunia laotingensis
GCF_014385005.1	Jingyaoa shaoxingensis
GCF_004329705.1	Jiulongibacter sediminis
GCF_000235445.1	Johnsonella ignava ATCC 51276
GCF_900475835.1	Jonesia denitrificans
GCF_000423205.1	Jonesia quinghaiensis DSM 15701
GCF_000380485.1	Jongsikchunia kroppenstedtii DSM 45133
GCF_000161995.1	Jonquetella anthropi E3_33 E1
GCF_021764745.1	Joostella atrarenae
GCF_014384965.1	Jutongia hominis
GCF_014384985.1	Jutongia huaianensis
GCF_900637895.1	Kaistella antarctica
GCF_003860585.1	Kaistella carnis
GCF_900156725.1	Kaistella chaponensis
GCF_965137075.1	Kaistella daneshvariae
GCF_020985365.1	Kaistella faecalis
GCF_015679325.1	Kaistella gelatinilytica
GCF_000735695.2	Kaistella haifensis DSM 19056
GCF_900638245.1	Kaistella jeonii
GCF_042684405.1	Kaistella montana
GCF_000422265.1	Kaistella palustris DSM 21579
GCF_020410745.1	Kaistella polysaccharea
GCF_014837035.1	Kaistella pullorum
GCF_030243905.1	Kaistella rhinocerotis
GCF_019038595.1	Kaistella soli
GCF_000812875.1	Kaistella solincola
GCF_900114045.1	Kaistella treverensis
GCF_026107505.2	Kaistella yananensis
GCF_030409525.1	Kaistella yonginensis
GCF_000423225.1	Kaistia adipata DSM 17808
GCF_026343945.1	Kaistia algarum
GCF_026343995.1	Kaistia dalseonensis
GCF_026343955.1	Kaistia defluvii
GCF_026344055.1	Kaistia geumhonensis
GCF_000380505.1	Kaistia granuli DSM 23481
GCF_014196455.1	Kaistia hirudinis
GCF_026343855.1	Kaistia nematophila
GCF_900129325.1	Kaistia soli DSM 19436
GCF_026344005.1	Kaistia terrae
GCF_001286805.1	Kallipyga gabonensis
GCF_000311985.1	Kallipyga massiliensis ph2
GCF_000526415.1	Kallotenue papyrolyticum
GCF_028330895.1	Kamptonema animale CS-326
GCF_000332155.1	Kamptonema formosum PCC 6407
GCF_000702065.1	Kandleria vitulina DSM 20405
GCF_000374105.1	Kangiella aquimarina DSM 16071
GCF_000981765.1	Kangiella geojedonensis
GCF_039523535.1	Kangiella japonica
