GCF_026413145.1	Limosilactobacillus kribbianus
GCF_013423865.1	Limosilactobacillus mucosae
GCF_025311495.1	Limosilactobacillus oris
GCF_001435935.1	Limosilactobacillus panis DSM 6035
GCF_009428965.1	Limosilactobacillus pontis
GCF_028607025.1	Limosilactobacillus portuensis
GCF_947381555.1	Limosilactobacillus pulli
GCF_003703885.1	Limosilactobacillus reuteri
GCF_014145455.1	Limosilactobacillus rudii
GCF_001437055.1	Limosilactobacillus secaliphilus
GCF_932750685.1	Limosilactobacillus urinaemulieris
GCF_025311515.1	Limosilactobacillus vaginalis
GCF_947387525.1	Limosilactobacillus viscerum
GCF_014830205.1	Limosilactobacillus walteri
GCF_014203805.1	Lipingzhangella halophila
GCF_031628175.1	Lipingzhangella rawalii
GCF_001436755.1	Liquorilactobacillus aquaticus DSM 21051
GCF_001436735.1	Liquorilactobacillus cacaonum DSM 21116
GCF_001434915.1	Liquorilactobacillus capillatus DSM 19910
GCF_001435235.1	Liquorilactobacillus ghanensis DSM 18630
GCF_019443985.1	Liquorilactobacillus hordei DSM 19519
GCF_009184705.1	Liquorilactobacillus mali
GCF_019444005.1	Liquorilactobacillus nagelii DSM 13675
GCF_001436275.1	Liquorilactobacillus oeni DSM 19972
GCF_001435195.1	Liquorilactobacillus satsumensis DSM 16230 = JCM 12392
GCF_029916425.1	Liquorilactobacillus sicerae
GCF_001436705.1	Liquorilactobacillus sucicola DSM 21376 = JCM 15457
GCF_001434935.1	Liquorilactobacillus uvarum DSM 19971
GCF_001435395.1	Liquorilactobacillus vini DSM 20605
GCF_900116425.1	Lishizhenia tianjinensis
GCF_014223975.1	Listeria aquatica
GCF_000766865.1	Listeria booriae
GCF_000525855.1	Listeria cornellensis FSL F6-0969
GCF_014228695.1	Listeria cossartiae subsp. cossartiae
GCF_900183385.1	Listeria costaricensis
GCF_014229295.1	Listeria farberi
GCF_001050295.1	Listeria fleischmannii 1991
GCF_000525875.1	Listeria floridensis FSL S10-1187
GCF_900186125.1	Listeria goaensis
GCF_014322885.1	Listeria grandensis
GCF_900638015.1	Listeria grayi
GCF_913566895.1	Listeria ilorinensis
GCF_014322845.1	Listeria immobilis
GCF_028596125.1	Listeria innocua
GCF_000763515.1	Listeria ivanovii subsp. ivanovii
GCF_003369925.1	Listeria kieliensis
GCF_014227425.1	Listeria marthii
GCF_000196035.1	Listeria monocytogenes EGD-e
GCF_026871175.1	Listeria newyorkensis
GCF_014322795.1	Listeria portnoyi
GCF_000525995.1	Listeria riparia FSL S10-1204
GCF_004363965.1	Listeria rocourtiae
GCF_013820765.1	Listeria rustica
GCF_000027145.1	Listeria seeligeri serovar 1/2b str. SLCC3954
GCF_031843265.2	Listeria swaminathanii
GCF_011800755.1	Listeria valentina
GCF_003534205.1	Listeria weihenstephanensis
GCF_900187315.1	Listeria welshimeri
GCF_000409775.1	Litchfieldella anticariensis FP35 = DSM 16096
GCF_014651875.1	Litchfieldella qijiaojingensis
GCF_042646605.1	Litchfieldella rifensis
GCF_000759345.1	Litchfieldella xinjiangensis
GCF_002019645.1	Litchfieldia alkalitelluris
GCF_014982515.1	Litchfieldia luteola
GCF_900104555.1	Litchfieldia salsa
GCF_900156865.1	Litchfieldia sinesaloumensis
GCF_900107015.1	Litoreibacter albidus
GCF_000442275.2	Litoreibacter arenae DSM 19593
GCF_900129235.1	Litoreibacter ascidiaceicola
GCF_004365635.1	Litoreibacter halocynthiae
GCF_900111945.1	Litoreibacter janthinus
GCF_003663885.1	Litoreibacter meonggei
GCF_003054285.1	Litoreibacter ponti
GCF_009811795.1	Litoreibacter roseus
GCF_039537985.1	Litoribacillus peritrichatus
GCF_007483685.1	Litoribacter populi
GCF_018449405.1	Litoribacter ruber
GCF_011058155.1	Litoribacterium kuwaitense
