GCF_000746085.1	Methylocapsa aurea
GCF_900114285.1	Methylocapsa palsarum
GCF_045689225.1	Methylocapsa polymorpha
GCF_000828475.1	Methyloceanibacter caenitepidi
GCF_001723295.1	Methyloceanibacter marginalis
GCF_001723285.1	Methyloceanibacter methanicus
GCF_001723355.1	Methyloceanibacter stevinii
GCF_001723305.1	Methyloceanibacter superfactus
GCF_000021745.1	Methylocella silvestris BL2
GCF_038024855.1	Methylocella tundrae
GCF_000008325.1	Methylococcus capsulatus str. Bath
GCF_012769535.1	Methylococcus geothermalis
GCF_026247885.1	Methylococcus mesophilus
GCF_000963695.1	Methylocucumis oryzae
GCF_036576025.1	Methylocystis borbori
GCF_027925445.1	Methylocystis bryophila
GCF_040687965.1	Methylocystis echinoides
GCF_004802635.2	Methylocystis heyeri
GCF_003722355.1	Methylocystis hirsuta
GCF_027925385.1	Methylocystis iwaonis
GCF_027571405.1	Methylocystis parvus OBBP
GCF_000372845.1	Methylocystis rosea SV97
GCF_013350005.1	Methylocystis silviterrae
GCF_024448135.1	Methylocystis suflitae
GCF_000385335.1	Methyloferula stellata AR4
GCF_019669985.1	Methylogaea oryzae
GCF_000496735.2	Methyloglobulus morosus KoM1
GCF_000421465.1	Methylohalobius crimeensis 10Ki
GCF_024808875.1	Methylohalomonas lacus
GCF_001708935.1	Methyloligella halotolerans
GCF_042676065.1	Methyloligella solikamskensis
GCF_019670005.1	Methylomagnum ishizawai
GCF_033126985.1	Methylomarinovum caldicuralii
GCF_030294985.1	Methylomarinovum tepidoasis
GCF_030717995.2	Methylomarinum roseum
GCF_000733935.1	Methylomarinum vadi
GCF_000733855.1	Methylomicrobium agile
GCF_000214275.2	Methylomicrobium album BG8
GCF_000527095.1	Methylomicrobium lacus LW14
GCF_014850955.1	Methylomonas albis
GCF_024505045.1	Methylomonas aurea
GCF_033949435.1	Methylomonas defluvii
GCF_000785705.2	Methylomonas denitrificans
GCF_014850975.1	Methylomonas fluvii
GCF_019669905.1	Methylomonas koyamae
GCF_001644015.1	Methylomonas lenta
GCF_001644045.1	Methylomonas methanica
GCF_030490285.1	Methylomonas montana
GCF_018734325.1	Methylomonas paludis
GCF_024360925.2	Methylomonas rapida
GCF_008632455.1	Methylomonas rhizoryzae
GCF_024505165.1	Methylomonas rivi
GCF_024505055.1	Methylomonas rosea
GCF_050154735.1	Methylomonas stagni
GCF_024505185.1	Methylomonas subterranea
GCF_003966895.1	Methylomusa anaerophila
GCF_023195885.1	Methylonatrum kenyense
GCF_054657115.1	Methyloparacoccus murrellii
GCF_000260965.1	Methylophaga frappieri
GCF_000349205.1	Methylophaga lonarensis MPL
GCF_030296755.1	Methylophaga marina
GCF_001720165.1	Methylophaga muralis
GCF_000260985.4	Methylophaga nitratireducenticrescens
GCF_020447175.2	Methylophaga pinxianii
GCF_900114205.1	Methylophaga sulfidovorans
GCF_030159795.1	Methylophaga thalassica
GCF_000156355.1	Methylophaga thiooxydans DMS010
GCF_030769565.1	Methylophilus aquaticus
GCF_042678905.1	Methylophilus flavus
GCF_042676145.1	Methylophilus glucosoxydans
GCF_042676265.1	Methylophilus luteus
GCF_006363915.1	Methylophilus medardicus
GCF_000378225.1	Methylophilus methylotrophus DSM 46235 = ATCC 53528
GCF_900100975.1	Methylophilus rhizosphaerae
GCF_027922205.1	Methylopila capsulata
GCF_042681025.1	Methylopila henanensis
GCF_027922305.1	Methylopila jiangsuensis
GCF_042679725.1	Methylopila musalis
GCF_027922325.1	Methylopila turkensis
GCF_002072955.1	Methyloprofundus sedimenti
GCF_019703875.1	Methyloradius palustris
GCF_040269895.1	Methyloraptor flagellatus
GCF_977887775.1	Methylorubrum aminovorans
GCF_000083545.1	Methylorubrum extorquens DM4
GCF_040270385.1	Methylorubrum podarium
GCF_000019945.1	Methylorubrum populi BJ001
GCF_014199985.1	Methylorubrum rhodesianum
GCF_014199935.1	Methylorubrum rhodinum
GCF_900114375.1	Methylorubrum salsuginis
GCF_038442325.1	Methylorubrum subtropicum
GCF_022179765.1	Methylorubrum suomiense
GCF_022179785.1	Methylorubrum thiocyanatum
GCF_042660345.1	Methylorubrum zatmanii
GCF_000372865.1	Methylosarcina fibrata AML-C10
GCF_051122735.1	Methylosinus sporium
GCF_000178815.2	Methylosinus trichosporium OB3b
GCF_054657615.1	Methylosoma difficile
GCF_000023705.1	Methylotenera mobilis JLW8
GCF_004661485.1	Methylotenera oryzisoli
GCF_000093025.1	Methylotenera versatilis 301
GCF_000934725.1	Methyloterricola oryzae
GCF_006175985.1	Methylotetracoccus oryzae
GCF_054656915.1	Methylothermus subterraneus
GCF_000968535.2	Methylotuvimicrobium alcaliphilum 20Z
GCF_005931095.1	Methylotuvimicrobium buryatense
GCF_000527135.1	Methyloversatilis discipulorum
GCF_000372885.1	Methyloversatilis thermotolerans
GCF_000478565.1	Methyloversatilis universalis Fam500
