GCF_900660635.1	Mycoplasmopsis gallopavonis
GCF_900660605.1	Mycoplasmopsis glycophila
GCF_045276885.1	Mycoplasmopsis hyopharyngis
GCF_000701805.1	Mycoplasmopsis iners ATCC 19705
GCF_000686585.1	Mycoplasmopsis lipofaciens ATCC 35015
GCF_045276895.1	Mycoplasmopsis lipophila
GCF_900660665.1	Mycoplasmopsis maculosa
GCF_900660695.1	Mycoplasmopsis meleagridis
GCF_006546935.1	Mycoplasmopsis mucosicanis
GCF_004365095.1	Mycoplasmopsis mustelae
GCF_000712185.1	Mycoplasmopsis opalescens ATCC 27921
GCF_004216495.1	Mycoplasmopsis phocirhinis
GCF_000702785.1	Mycoplasmopsis primatum ATCC 25948
GCF_006334135.1	Mycoplasmopsis pullorum
GCF_900660575.1	Mycoplasmopsis pulmonis
GCF_000701485.1	Mycoplasmopsis sturni DSM 22021
GCF_000969765.1	Mycoplasmopsis synoviae ATCC 25204
GCF_033546915.1	Mycoplasmopsis verecunda
GCF_028485475.1	Mycovorax composti
GCF_024722315.1	Myroides albus
GCF_009792295.1	Myroides fluvii
GCF_900114085.1	Myroides guanonis
GCF_004364575.1	Myroides indicus
GCF_000246945.1	Myroides injenensis M09-0166
GCF_900109075.1	Myroides marinus
GCF_004337635.1	Myroides odoratimimus
GCF_016726985.1	Myroides odoratus
GCF_020905415.1	Myroides oncorhynchi
GCF_009711055.1	Myroides pelagicus
GCF_900099675.1	Myroides phaeus
GCF_000833025.1	Myroides profundi
GCF_010091945.1	Myxacorys almedinensis A
GCF_024198235.1	Myxococcus dinghuensis
GCF_010894455.1	Myxococcus eversor
GCF_050039385.1	Myxococcus faecalis
GCF_900111765.1	Myxococcus fulvus
GCF_024198255.1	Myxococcus guangdongensis
GCF_017301635.1	Myxococcus landrumensis
GCF_006636215.1	Myxococcus llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogochensis
GCF_024198215.1	Myxococcus qinghaiensis
GCF_000331735.1	Myxococcus stipitatus DSM 14675
GCF_010894475.1	Myxococcus vastator
GCF_051058955.1	Myxococcus virescens
GCF_000012685.1	Myxococcus xanthus DK 1622
GCF_030296595.1	Naasia aerilata
GCF_004801885.1	Naasia lichenicola
GCF_000346615.1	Nafulsella turpanensis ZLM-10
GCF_013002705.1	Nakamurella aerolata
GCF_009707545.1	Nakamurella alba
GCF_003860405.1	Nakamurella antarctica
GCF_003260015.1	Nakamurella deserti
GCF_014646215.1	Nakamurella endophytica
GCF_005298075.1	Nakamurella flava
GCF_016918095.1	Nakamurella flavida
GCF_000426645.1	Nakamurella lactea DSM 19367
GCF_016918035.1	Nakamurella leprariae
GCF_000024365.1	Nakamurella multipartita DSM 44233
GCF_900104535.1	Nakamurella panacisegetis
GCF_042679565.1	Namhaeicola litoreus
GCF_014763015.1	Nanchangia anserum
GCF_046557775.1	Nanhaiella sioensis
GCF_028368995.1	Nannocystis bainbridge
GCF_002343915.1	Nannocystis exedens
GCF_026965555.1	Nannocystis punicea
GCF_049337375.1	Nannocystis pusilla
GCF_028369095.1	Nannocystis radixulma
GCF_000020005.1	Natranaerobius thermophilus JW/NM-WN-LF
GCF_002216005.1	Natranaerobius trueperi
GCF_022539405.1	Natranaerofaba carboxydovora
GCF_004339095.1	Natranaerovirga hydrolytica
GCF_004342165.1	Natranaerovirga pectinivora
GCF_900100185.1	Natribacillus halophilus
GCF_023227745.1	Natroniella acetigena
GCF_023223645.1	Natroniella sulfidigena
GCF_900100845.1	Natronincola ferrireducens
GCF_900111615.1	Natronincola peptidivorans
GCF_026805325.1	Natronobacillus azotifigens
GCF_024170285.1	Natronocella acetinitrilica
GCF_004345615.1	Natronoflexus pectinivorans
GCF_016925535.1	Natronoglycomyces albus
GCF_017921895.1	Natronogracilivirga saccharolytica
GCF_001884735.1	Natronohydrobacter thiooxidans
GCF_041821185.1	Natronomicrosphaera hydrolytica
GCF_030848495.1	Natronospira bacteriovora
GCF_034931365.1	Natronospira elongata
GCF_024170465.1	Natronospira proteinivora
GCF_004768465.1	Natronospirillum operosum
GCF_016925615.1	Natronosporangium hydrolyticum
GCF_013408305.1	Naumannella cuiyingiana
GCF_004364645.1	Naumannella halotolerans
GCF_054073625.1	Naumannella huperziae
GCF_054656815.1	Nautilia lithotrophica
GCF_000021725.1	Nautilia profundicola AmH
GCF_000827595.2	Necropsobacter massiliensis
GCF_964241405.1	Necropsobacter rosorum
GCF_042652345.1	Negadavirga shengliensis
GCF_900148495.1	Negativibacillus massiliensis
GCF_014207605.1	Negativicoccus succinicivorans
GCF_034335015.1	Neglectibacter caecimuris
GCF_900048895.1	Neglectibacter timonensis
GCF_019457915.1	Neiella holothuriorum
GCF_014773395.1	Neiella litorisoli
GCF_002165625.1	Neiella marina
GCF_008806995.1	Neisseria animalis
GCF_900637855.1	Neisseria animaloris
GCF_022870905.1	Neisseria arctica
GCF_014055025.1	Neisseria bacilliformis
GCF_962707005.1	Neisseria basseii
GCF_958267435.1	Neisseria benedictiae
GCF_962704615.1	Neisseria bergeri
GCF_962747855.1	Neisseria blantyrii
