GCF_003259525.1	Olleya aquimaris
GCF_000518485.1	Olleya marilimosa CAM030
GCF_900114005.1	Olleya namhaensis
GCF_016785945.1	Olleya sediminilitoris
GCF_004801285.1	Ollibium composti
GCF_036408855.1	Olsenella absiana
GCF_023276655.1	Olsenella intestinalis
GCF_036408795.1	Olsenella kribbiana
GCF_001457795.1	Olsenella massiliensis
GCF_048189965.1	Olsenella phocaeensis
GCF_009695875.1	Olsenella porci
GCF_030811115.1	Olsenella profusa DSM 13989
GCF_000143845.1	Olsenella uli DSM 7084
GCF_900155635.1	Olsenella urininfantis
GCF_004798965.1	Onishia niordana
GCF_900100755.1	Onishia taeanensis
GCF_048282545.1	Opacimonas immobilis
GCF_024199005.1	Opacimonas viscosa
GCF_000019965.1	Opitutus terrae PB90-1
GCF_003634275.1	Orbus hercynius
GCF_036251205.1	Orbus mooreae
GCF_039542345.1	Orbus sasakiae
GCF_036251875.1	Orbus sturtevantii
GCF_036251935.1	Orbus wheelerorum
GCF_000379025.1	Orenia marismortui DSM 5156
GCF_001693735.1	Orenia metallireducens
GCF_000238075.1	Oribacterium asaccharolyticum ACB7
GCF_000238055.2	Oribacterium parvum ACB1
GCF_014202695.1	Oribacterium sinus
GCF_019966575.1	Oricola cellulosilytica
GCF_965227485.1	Oricola indica
GCF_014904745.1	Oricola nitratireducens
GCF_013358405.1	Oricola thermophila
GCF_000964595.1	Orientia chuto str. Dubai
GCF_900327255.1	Orientia tsutsugamushi
GCF_004801905.1	Orlajensenia flava
GCF_004570845.1	Orlajensenia leifsoniae
GCF_001306115.1	Ornatilinea apprima
GCF_050433565.1	Ornithinibacillus bavariensis
GCF_001038485.1	Ornithinibacillus californiensis
GCF_009728145.1	Ornithinibacillus caprae
GCF_001038425.2	Ornithinibacillus contaminans
GCF_003730295.1	Ornithinibacillus gellani
GCF_900129485.1	Ornithinibacillus halophilus
GCF_014637405.1	Ornithinibacillus halotolerans
GCF_014287465.1	Ornithinibacillus hominis
GCF_018310345.1	Ornithinibacillus massiliensis
GCF_042684965.1	Ornithinibacillus salinisoli
GCF_000190475.1	Ornithinibacillus scapharcae TW25
GCF_039614845.1	Ornithinibacillus xuwenensis
GCF_009858245.1	Ornithinibacter aureus
GCF_009602535.1	Ornithinicoccus halotolerans
GCF_006716185.1	Ornithinicoccus hortensis
GCF_003351765.1	Ornithinimicrobium avium
GCF_003121625.1	Ornithinimicrobium cavernae
GCF_003702705.1	Ornithinimicrobium cerasi
GCF_007197575.1	Ornithinimicrobium ciconiae
GCF_023923205.1	Ornithinimicrobium cryptoxanthini
GCF_023923225.1	Ornithinimicrobium faecis
GCF_004526345.1	Ornithinimicrobium flavum
GCF_006716885.1	Ornithinimicrobium humiphilum
GCF_006519705.1	Ornithinimicrobium kibberense
GCF_003352835.1	Ornithinimicrobium murale
GCF_052073805.1	Ornithinimicrobium panacihumi
GCF_000421185.1	Ornithinimicrobium pekingense DSM 21552
GCF_008843165.1	Ornithinimicrobium pratense
GCF_021272345.1	Ornithinimicrobium sediminis
GCF_004322775.1	Ornithinimicrobium sufpigmenti
GCF_014636495.1	Ornithinimicrobium tianjinense
GCF_000265465.1	Ornithobacterium rhinotracheale DSM 15997
GCF_022811525.1	Orrella daihaiensis
GCF_900089455.2	Orrella dioscoreae
GCF_003058465.1	Orrella marina
GCF_021864535.1	Oryzibacter oryziterrae
GCF_014534685.1	Oryzicola mucosus
GCF_037199735.1	Oryzifoliimicrobium ureilyticus
GCF_006716205.1	Oryzihumus leptocrescens
GCF_900103645.1	Oryzisolibacter propanilivorax
GCF_046764005.1	Oryzobacter faecalis
GCF_043099285.1	Oryzobacter telluris
GCF_042756445.1	Oryzobacter terrae
GCF_008274805.1	Oryzomicrobium terrae
GCF_008802365.1	Oryzomonas japonica
GCF_008369015.1	Oryzomonas rubra
GCF_008802355.1	Oryzomonas sagensis
GCF_020144665.1	Oscillatoria salina IICB1
GCF_025567605.1	Oscillibacter acetigenes
GCF_014334055.1	Oscillibacter hominis
GCF_000307265.1	Oscillibacter ruminantium GH1
GCF_021531915.1	Oscillibacter valericigenes
GCF_009362845.1	Ostreibacterium oceani
GCF_032670585.1	Ostreiculturibacter nitratireducens
GCF_009684715.1	Otariodibacter oris
GCF_943193115.1	Otoolea muris
GCF_042680925.1	Ottowia beijingensis
GCF_050821495.1	Ottowia caeni
GCF_029813755.1	Ottowia cancrivicina
GCF_042680565.1	Ottowia flava
GCF_900240305.1	Ottowia massiliensis
GCF_003008535.1	Ottowia oryzae
GCF_964341695.1	Ottowia pentelensis
GCF_017498525.1	Ottowia testudinis
GCF_000422885.1	Ottowia thiooxydans DSM 14619
GCF_032586175.1	Ovoidimarina sediminis
GCF_045865535.1	Owariibacterium komagatae
GCF_000236705.1	Owenweeksia hongkongensis DSM 17368
GCF_014635705.1	Oxalicibacterium faecigallinarum
GCF_014635065.1	Oxalicibacterium flavum
GCF_014635845.1	Oxalicibacterium solurbis
GCF_027158565.1	Oxalobacter aliiformigenes
GCF_002127965.1	Oxalobacter formigenes
GCF_027158465.1	Oxalobacter paeniformigenes
GCF_000158475.2	Oxalobacter paraformigenes
GCF_027118995.1	Oxalobacter vibrioformis
GCF_001317355.1	Oxobacter pfennigii
GCF_000317105.1	Oxynema acuminatum PCC 6304
GCF_012295525.1	Oxynema aestuarii AP17
GCF_016632315.1	Oxynema mangrovii CENA135
GCF_900172305.1	Pacificibacter marinus
GCF_003814915.1	Pacificibacter maritimus
GCF_020092905.1	Pacificimonas aurantium
GCF_000342165.1	Pacificimonas flava
GCF_019204005.1	Pacificimonas pallii
GCF_012926505.1	Pacificispira spongiicola
GCF_002504165.1	Pacificitalea manganoxidans
GCF_004804335.1	Pacificoceanicola onchidii
GCF_900116825.1	Paenacidovorax caeni
GCF_014489595.1	Paenacidovorax monticola
GCF_016055185.1	Paenactinomyces guangxiensis
GCF_027557445.1	Paenalcaligenes faecalis
GCF_039543645.1	Paenalcaligenes hermetiae
GCF_014635265.1	Paenalcaligenes hominis
GCF_022230885.1	Paenalcaligenes niemegkensis
GCF_011290505.1	Paenalcaligenes suwonensis
GCF_006965545.2	Paenalkalicoccus suaedae
GCF_019038615.1	Paenarthrobacter aromaticivorans
GCF_041549525.1	Paenarthrobacter aurescens
GCF_014647595.1	Paenarthrobacter histidinolovorans
GCF_016907545.1	Paenarthrobacter ilicis
GCF_021919345.1	Paenarthrobacter nicotinovorans
GCF_051027655.1	Paenarthrobacter nitroguajacolicus
GCF_017357445.1	Paenarthrobacter ureafaciens
GCF_014640295.1	Paenibacillus abyssi
GCF_017874035.1	Paenibacillus aceris
GCF_003614185.1	Paenibacillus aceti
GCF_027789125.1	Paenibacillus aestuarii
GCF_018604145.1	Paenibacillus agaridevorans
GCF_007786455.1	Paenibacillus agilis
GCF_013359945.1	Paenibacillus agri
GCF_011440305.1	Paenibacillus agricola
GCF_013204855.1	Paenibacillus alba
GCF_012676905.1	Paenibacillus albicereus
GCF_014644435.1	Paenibacillus albidus
GCF_004344915.1	Paenibacillus albiflavus
GCF_018333255.1	Paenibacillus albilobatus
GCF_003952225.1	Paenibacillus albus
GCF_005577435.1	Paenibacillus algicola
GCF_004000725.1	Paenibacillus alginolyticus DSM 5050 = NBRC 15375
