GCF_026275365.1	Pedobacter agri
GCF_036324255.1	Pedobacter albus
GCF_003664035.1	Pedobacter alluvionis
GCF_042684645.1	Pedobacter alpinus
GCF_037482965.1	Pedobacter anseongensis
GCF_900103515.1	Pedobacter antarcticus
GCF_008195825.1	Pedobacter aquae
GCF_030409415.1	Pedobacter aquatilis
GCF_000302595.1	Pedobacter arcticus A12
GCF_000708285.2	Pedobacter borealis DSM 19626
GCF_042675945.1	Pedobacter boryungensis
GCF_900129215.1	Pedobacter caeni
GCF_004354365.1	Pedobacter changchengzhani
GCF_003339865.1	Pedobacter chinensis
GCF_004025525.1	Pedobacter chitinilyticus
GCF_003259615.1	Pedobacter cryoconitis
GCF_005116455.1	Pedobacter cryophilus
GCF_005116475.1	Pedobacter cryotolerans
GCF_024436415.1	Pedobacter deserti
GCF_004362245.1	Pedobacter duraquae
GCF_015679185.1	Pedobacter endophyticus
GCF_030182585.1	Pedobacter faecalis
GCF_014306625.1	Pedobacter fastidiosus
GCF_036324285.1	Pedobacter flavus
GCF_044501175.1	Pedobacter foliorum
GCF_004331675.1	Pedobacter frigidisoli
GCF_004331645.1	Pedobacter frigiditerrae
GCF_005116445.1	Pedobacter frigoris
GCF_014172405.1	Pedobacter gandavensis
GCF_903166585.1	Pedobacter ghigonis
GCF_030244015.1	Pedobacter ginsengisoli
GCF_039537385.1	Pedobacter ginsengiterrae
GCF_001442625.1	Pedobacter ginsenosidimutans
GCF_000425145.1	Pedobacter glucosidilyticus DSM 23534
GCF_900107535.1	Pedobacter hartonius
GCF_005925325.2	Pedobacter helvus
GCF_000023825.1	Pedobacter heparinus DSM 2366
GCF_005144565.1	Pedobacter hiemivivus
GCF_037482985.1	Pedobacter immunditicola
GCF_900113525.1	Pedobacter insulae
GCF_042650905.1	Pedobacter jamesrossensis
GCF_003725795.1	Pedobacter jejuensis
GCF_039538295.1	Pedobacter jeongneungensis
GCF_004310665.1	Pedobacter kyonggii
GCF_000812965.1	Pedobacter kyungheensis
GCF_042650845.1	Pedobacter lithocola
GCF_040026395.1	Pedobacter lusitanus
GCF_042683465.1	Pedobacter mendelii
GCF_004362715.1	Pedobacter metabolipauper
GCF_003315595.1	Pedobacter miscanthi
GCF_022809115.1	Pedobacter montanisoli
GCF_022200785.1	Pedobacter mucosus
GCF_003313325.1	Pedobacter namyangjuensis
GCF_003313505.1	Pedobacter nanyangensis
GCF_004335085.1	Pedobacter nototheniae
GCF_003208655.1	Pedobacter nutrimenti
GCF_900176505.1	Pedobacter nyackensis
GCF_003173575.1	Pedobacter paludis
GCF_013204795.1	Pedobacter panaciterrae
GCF_042683545.1	Pedobacter petrophilus
GCF_014172375.1	Pedobacter planticolens
GCF_005116505.1	Pedobacter polaris
GCF_019802255.1	Pedobacter polysacchareus
GCF_004331735.1	Pedobacter psychrodurus
GCF_001652725.1	Pedobacter psychrophilus
GCF_004331695.1	Pedobacter psychroterrae
GCF_004340665.1	Pedobacter psychrotolerans
GCF_027213715.1	Pedobacter punctiformis
GCF_009674685.1	Pedobacter puniceum
GCF_014642175.1	Pedobacter quisquiliarum
GCF_900111155.1	Pedobacter rhizosphaerae
GCF_027213645.1	Pedobacter rhodius
GCF_014692875.1	Pedobacter riviphilus
GCF_014395225.1	Pedobacter roseus
GCF_026240095.1	Pedobacter sandarakinus
GCF_900564155.1	Pedobacter schmidteae
GCF_016623585.1	Pedobacter segetis
GCF_900101435.1	Pedobacter soli
GCF_900103665.1	Pedobacter steynii
GCF_037622515.1	Pedobacter superstes
GCF_007833675.1	Pedobacter suwonensis
GCF_900100705.1	Pedobacter terrae
GCF_005925345.2	Pedobacter ureilyticus
GCF_042684385.1	Pedobacter vanadiisoli
GCF_900182595.1	Pedobacter westerhofensis
GCF_900215335.1	Pedobacter xixiisoli
GCF_003173595.1	Pedobacter yonginense
GCF_003029735.1	Pedobacter yulinensis
GCF_014641575.1	Pedobacter zeae
GCF_039532215.1	Pedococcus aerophilus
GCF_013408925.1	Pedococcus badiiscoriae
GCF_039531795.1	Pedococcus bigeumensis
GCF_900111375.1	Pedococcus cremeus
GCF_900104525.1	Pedococcus dokdonensis
GCF_039544395.1	Pedococcus ginsenosidimutans
GCF_022569295.1	Pedomonas mirosovicensis
GCF_000172555.1	Pedosphaera parvula Ellin514
GCF_030504955.1	Peiella sedimenti
GCF_003581645.1	Pelagerythrobacter aerophilus
GCF_001028625.1	Pelagerythrobacter marensis
GCF_034375205.1	Pelagerythrobacter marinus
GCF_004135625.1	Pelagerythrobacter rhizovicinus
GCF_025854335.1	Pelagibacterium flavum
