GCF_030135505.1	Pseudoalteromonas obscura
GCF_029023665.1	Pseudoalteromonas ostreae
GCF_007989895.1	Pseudoalteromonas peptidolytica
GCF_001444405.1	Pseudoalteromonas phenolica
GCF_000788395.1	Pseudoalteromonas piratica
GCF_019797925.1	Pseudoalteromonas piscicida
GCF_014925355.1	Pseudoalteromonas prydzensis ACAM 620
GCF_038739665.1	Pseudoalteromonas qingdaonensis
GCF_028885455.1	Pseudoalteromonas rhizosphaerae
GCF_000238295.3	Pseudoalteromonas rubra
GCF_000967625.1	Pseudoalteromonas ruthenica
GCF_001550135.1	Pseudoalteromonas shioyasakiensis
GCF_015278155.1	Pseudoalteromonas simplex
GCF_000238255.3	Pseudoalteromonas spongiae UST010723-006
GCF_046712425.1	Pseudoalteromonas tetraodonis
GCF_000026085.1	Pseudoalteromonas translucida
GCF_003568825.1	Pseudoalteromonas tunicata
GCF_002156545.1	Pseudoalteromonas ulvae
GCF_030125375.1	Pseudoalteromonas umbrosa
GCF_000238275.3	Pseudoalteromonas undina
GCF_017742995.1	Pseudoalteromonas viridis
GCF_042431545.1	Pseudoalteromonas xiamenensis
GCF_002189605.1	Pseudobacillus badius
GCF_001685015.1	Pseudobacillus wudalianchiensis
GCF_004291315.1	Pseudobacter ginsenosidimutans
GCF_004346105.1	Pseudobacteriovorax antillogorgiicola
GCF_001262605.1	Pseudobacteroides cellulosolvens ATCC 35603 = DSM 2933
GCF_000348725.1	Pseudobdellovibrio exovorus JSS
GCF_042662685.1	Pseudobowmanella zhangzhouensis
GCF_900218035.1	Pseudobutyrivibrio ruminis DSM 9787
GCF_900141825.1	Pseudobutyrivibrio xylanivorans DSM 14809
GCF_007859945.1	Pseudobythopirellula maris
GCF_031729055.1	Pseudocalidococcus azoricus BACA0444
GCF_014195635.1	Pseudochelatococcus contaminans
GCF_042432495.1	Pseudochelatococcus lubricantis
GCF_018436245.1	Pseudochrobactrum algeriensis
GCF_003314995.1	Pseudochrobactrum asaccharolyticum
GCF_030362795.1	Pseudochrobactrum kiredjianiae
GCF_041929865.1	Pseudochrobactrum lubricantis
GCF_008801715.1	Pseudochrobactrum saccharolyticum
GCF_003286915.1	Pseudochryseolinea flava
GCF_021172065.1	Pseudocitrobacter corydidari
GCF_039889165.1	Pseudocitrobacter cyperus
GCF_014653055.1	Pseudocitrobacter faecalis
GCF_943590815.1	Pseudocitrobacter vendiensis
GCF_008831125.1	Pseudoclavibacter caeni
GCF_013410545.1	Pseudoclavibacter chungangensis
GCF_008831085.1	Pseudoclavibacter endophyticus
GCF_042431385.1	Pseudoclavibacter helvolus
GCF_000423505.1	Pseudoclavibacter soli DSM 23366
GCF_008831075.1	Pseudoclavibacter terrae
GCF_004347775.1	Pseudocnuella soli
GCF_002000085.1	Pseudocolwellia agarivorans
GCF_000176915.2	Pseudodesulfovibrio aespoeensis Aspo-2
GCF_009729555.1	Pseudodesulfovibrio alkaliphilus
GCF_009762795.1	Pseudodesulfovibrio cashew
GCF_001874525.1	Pseudodesulfovibrio hydrargyri
GCF_004365595.1	Pseudodesulfovibrio indicus
GCF_041414475.1	Pseudodesulfovibrio karagichevae
GCF_000189295.2	Pseudodesulfovibrio mercurii
GCF_037094465.1	Pseudodesulfovibrio methanolicus
GCF_027923765.1	Pseudodesulfovibrio nedwellii
GCF_030282845.1	Pseudodesulfovibrio pelocollis
GCF_000341895.1	Pseudodesulfovibrio piezophilus C1TLV30
GCF_026000375.1	Pseudodesulfovibrio portus
GCF_900217235.1	Pseudodesulfovibrio profundus
GCF_020886695.1	Pseudodesulfovibrio sediminis
GCF_008830225.1	Pseudodesulfovibrio senegalensis
GCF_021353295.2	Pseudodesulfovibrio thermohalotolerans
GCF_022809775.1	Pseudodesulfovibrio tunisiensis
GCF_030164425.1	Pseudodonghicola flavimaris
GCF_000429365.1	Pseudodonghicola xiamenensis DSM 18339
GCF_004322755.1	Pseudoduganella albidiflava
GCF_020865585.1	Pseudoduganella aquatica
GCF_003028855.1	Pseudoduganella armeniaca
GCF_014644155.1	Pseudoduganella buxea
GCF_029028125.1	Pseudoduganella chitinolytica
GCF_042658625.1	Pseudoduganella danionis
GCF_009727155.1	Pseudoduganella dura
GCF_009789595.1	Pseudoduganella flava
GCF_009720865.1	Pseudoduganella ginsengisoli
GCF_009857475.1	Pseudoduganella guangdongensis
GCF_007830455.1	Pseudoduganella lurida
GCF_004209755.1	Pseudoduganella lutea
GCF_900116645.1	Pseudoduganella namucuonensis
GCF_004421005.1	Pseudoduganella plicata
GCF_009674485.1	Pseudoduganella rivuli
GCF_005280315.1	Pseudoduganella umbonata
GCF_014191875.1	Pseudoduganella violacea
GCF_000425385.1	Pseudoduganella violaceinigra DSM 15887
GCF_003991355.1	Pseudoflavitalea rhizosphaerae
GCF_000169255.2	Pseudoflavonifractor capillosus ATCC 29799
GCF_014982855.1	Pseudoflavonifractor gallinarum
GCF_014288125.1	Pseudoflavonifractor hominis
GCF_040096055.1	Pseudoflavonifractor intestinihominis
GCF_038439875.1	Pseudoflavonifractor phocaeensis
GCF_003574475.2	Pseudofrancisella aestuarii
GCF_001983105.1	Pseudofrankia asymbiotica
GCF_000166135.1	Pseudofrankia inefficax
GCF_000235425.2	Pseudofrankia saprophytica
GCF_042675745.1	Pseudofulvibacter geojedonensis
GCF_004343305.1	Pseudofulvimonas gallinarii
GCF_030623445.1	Pseudogemmatithrix spongiicola
GCF_003071405.1	Pseudogemmobacter blasticus
GCF_003290025.1	Pseudogemmobacter bohemicus
GCF_020539525.1	Pseudogemmobacter faecipullorum
GCF_013155295.1	Pseudogemmobacter hezensis
GCF_900609055.1	Pseudogemmobacter humi
GCF_030848395.1	Pseudogemmobacter lacusdianii
GCF_031458175.1	Pseudoglutamicibacter albus
GCF_016907775.1	Pseudoglutamicibacter cumminsii
GCF_042682125.1	Pseudogracilibacillus auburnensis
GCF_000174355.1	Pseudogulbenkiania ferrooxidans 2002
GCF_900177275.1	Pseudogulbenkiania subflava DSM 22618
GCF_000764025.1	Pseudohaliea rubra DSM 19751
GCF_002866825.1	Pseudohalioglobus lutimaris
GCF_008370495.1	Pseudohalioglobus sediminis
GCF_018457175.1	Pseudohalocynthiibacter aestuariivivens
GCF_019334345.1	Pseudohoeflea coraliihabitans
GCF_004354915.1	Pseudohoeflea suaedae
GCF_001758195.1	Pseudohongiella acticola
GCF_014642795.1	Pseudohongiella nitratireducens
GCF_001444425.1	Pseudohongiella spirulinae
GCF_037482545.1	Pseudokineococcus basanitobsidens
GCF_003751265.1	Pseudokineococcus lusitanus
GCF_037482405.1	Pseudokineococcus marinus
GCF_026719705.1	Pseudokordiimonas caeni
GCF_003367395.1	Pseudolabrys taiwanensis
GCF_006770265.1	Pseudolactococcus carnosus
GCF_002441885.1	Pseudolactococcus chungangensis CAU 28 = DSM 22330
GCF_011170085.1	Pseudolactococcus hodotermopsidis
GCF_011170065.1	Pseudolactococcus insecticola
GCF_013449735.1	Pseudolactococcus laudensis
GCF_006770285.1	Pseudolactococcus paracarnosus
GCF_002441695.1	Pseudolactococcus piscium
GCF_001591745.1	Pseudolactococcus plantarum NBRC 100936
GCF_010669245.1	Pseudolactococcus raffinolactis
GCF_002260845.1	Pseudolactococcus reticulitermitis
GCF_007990505.1	Pseudoleptotrichia goodfellowii
GCF_007556775.1	Pseudoluteimonas lycopersici
GCF_039531715.1	Pseudolysinimonas kribbensis
GCF_014653215.1	Pseudolysinimonas yzui
GCF_004168365.1	Pseudolysobacter antarcticus
GCF_018863235.1	Pseudomaricurvus albidus
GCF_011440395.1	Pseudomaricurvus alcaniphilus
GCF_011683955.1	Pseudomaricurvus alkylphenolicus
GCF_011602365.1	Pseudomaricurvus hydrocarbonicus
GCF_014841215.1	Pseudomarimonas arenosa
GCF_023156535.1	Pseudomarimonas salicorniae
GCF_003730115.1	Pseudomethylobacillus aquaticus
GCF_900100795.1	Pseudomonas abietaniphila
GCF_023509015.1	Pseudomonas abieticivorans
GCF_003444685.1	Pseudomonas abyssi
GCF_019168305.1	Pseudomonas aegrilactucae
GCF_000006765.1	Pseudomonas aeruginosa PAO1
GCF_039908605.1	Pseudomonas aestiva
GCF_027988105.1	Pseudomonas aestuarii
GCF_001543125.1	Pseudomonas agarici
GCF_025917275.1	Pseudomonas agronomica
GCF_011355085.1	Pseudomonas akapageensis
GCF_009755645.1	Pseudomonas alkylphenolica
GCF_031588425.1	Pseudomonas allii
GCF_017826695.1	Pseudomonas alliivorans
GCF_014863605.1	Pseudomonas allokribbensis
GCF_021283545.2	Pseudomonas alloputida
GCF_019141525.1	Pseudomonas alvandae
GCF_000145945.2	Pseudomonas amygdali pv. tabaci str. ATCC 11528
GCF_017976235.1	Pseudomonas anatoliensis
GCF_900105355.1	Pseudomonas anguilliseptica
GCF_900103795.1	Pseudomonas antarctica
GCF_014269225.2	Pseudomonas anuradhapurensis
GCF_028657135.1	Pseudomonas aphyarum
GCF_047758675.1	Pseudomonas arabinosi
GCF_016881005.1	Pseudomonas arcuscaelestis
GCF_900103875.1	Pseudomonas arsenicoxydans
GCF_019139815.1	Pseudomonas asgharzadehiana
GCF_034358925.1	Pseudomonas asiatica
GCF_900105475.1	Pseudomonas asplenii
GCF_900143095.1	Pseudomonas asturiensis
GCF_014646755.1	Pseudomonas asuensis
GCF_017167965.1	Pseudomonas atacamensis
GCF_011369485.1	Pseudomonas atagonensis
GCF_036324105.1	Pseudomonas auratipiscis
GCF_000452845.1	Pseudomonas avellanae
GCF_001702265.1	Pseudomonas aylmerensis
GCF_019145355.1	Pseudomonas azadiae
GCF_019145495.1	Pseudomonas azerbaijanoccidentalis
GCF_019139795.1	Pseudomonas azerbaijanorientalis
GCF_900103345.1	Pseudomonas azotoformans
GCF_002813455.1	Pseudomonas baetica
GCF_014235765.1	Pseudomonas baltica
GCF_001679645.1	Pseudomonas bananamidigenes
GCF_036585405.1	Pseudomonas batumici
GCF_030687875.1	Pseudomonas beijingensis
GCF_033547155.1	Pseudomonas benzenivorans
GCF_036884265.1	Pseudomonas benzopyrenica
GCF_014109765.1	Pseudomonas berkeleyensis
GCF_048586865.1	Pseudomonas bharatica
GCF_023330585.1	Pseudomonas bijieensis
GCF_002934685.1	Pseudomonas bohemica
GCF_900115555.1	Pseudomonas borbori
GCF_030580795.1	Pseudomonas boreofloridensis
GCF_019145475.1	Pseudomonas botevensis
GCF_008370715.1	Pseudomonas brassicacearum
GCF_010671725.1	Pseudomonas brassicae
GCF_007858285.1	Pseudomonas brenneri
GCF_037023725.1	Pseudomonas bubulae
GCF_021147775.1	Pseudomonas californiensis
GCF_030980095.1	Pseudomonas canadensis
GCF_016599635.1	Pseudomonas cannabina pv. alisalensis
GCF_000731675.1	Pseudomonas capeferrum
GCF_017165765.1	Pseudomonas capsici
GCF_036324045.1	Pseudomonas carassii
GCF_001400735.1	Pseudomonas caricapapayae
GCF_024722005.1	Pseudomonas carnis
GCF_002158995.1	Pseudomonas caspiana
GCF_003595175.1	Pseudomonas cavernae
GCF_003596405.1	Pseudomonas cavernicola
GCF_900104915.1	Pseudomonas cedrina
GCF_027983475.1	Pseudomonas cerasi
GCF_021602025.1	Pseudomonas ceruminis
GCF_015712105.2	Pseudomonas chaetocerotis
GCF_036689615.1	Pseudomonas chlororaphis subsp. chlororaphis
GCF_018343775.1	Pseudomonas cichorii
GCF_025336485.1	Pseudomonas citri
GCF_001586155.1	Pseudomonas citronellolis
GCF_030580855.1	Pseudomonas citrulli
GCF_900105555.1	Pseudomonas coleopterorum
