GCF_004153545.1	Serinicoccus sediminis
GCF_014836765.1	Serpens gallinarum
GCF_018141405.1	Serpentinicella alkaliphila
GCF_000696225.1	Serpentinimonas barnesii
GCF_000828915.1	Serpentinimonas maccroryi
GCF_000828895.1	Serpentinimonas raichei
GCF_044865145.1	Serratia aquatilis
GCF_029907835.1	Serratia bockelmannii
GCF_021462285.1	Serratia entomophila
GCF_900187015.1	Serratia ficaria
GCF_001006005.1	Serratia fonticola
GCF_900186025.1	Serratia grimesii
GCF_003591175.1	Serratia inhibens
GCF_000422085.1	Serratia liquefaciens ATCC 27592
GCF_030291735.1	Serratia marcescens
GCF_004011885.1	Serratia microhaemolytica
GCF_020858655.1	Serratia montpellierensis
GCF_004768745.1	Serratia nematodiphila
GCF_037948395.1	Serratia nevei
GCF_041448735.1	Serratia odorifera
GCF_001976145.1	Serratia oryzae
GCF_000214235.1	Serratia plymuthica AS9
GCF_949794035.1	Serratia proteamaculans
GCF_900638135.1	Serratia quinivorans
GCF_009817885.1	Serratia rhizosphaerae
GCF_016026735.1	Serratia rubidaea
GCF_035749905.1	Serratia sarumanii
GCF_023282985.1	Serratia silvae
GCF_001642805.2	Serratia surfactantfaciens
GCF_000821185.2	Serratia symbiotica
GCF_017309605.1	Serratia ureilytica
GCF_021290925.1	Sessilibacter corallicola
GCF_000702165.1	Sharpea azabuensis DSM 18934
GCF_009695655.1	Sharpea porci
GCF_010499255.1	Sheuella amnicola
GCF_023284025.1	Shewanella abyssi
GCF_019457475.1	Shewanella acanthi
GCF_019457495.1	Shewanella aegiceratis
GCF_014647215.1	Shewanella aestuarii
GCF_009183365.2	Shewanella algae
GCF_014648035.1	Shewanella algicola
GCF_900380485.1	Shewanella algidipiscicola
GCF_019457575.1	Shewanella alkalitolerans
GCF_000015245.1	Shewanella amazonensis SB2B
GCF_023349185.1	Shewanella aquimarina
GCF_003966265.1	Shewanella atlantica
GCF_017354945.1	Shewanella avicenniae
GCF_000178875.2	Shewanella baltica OS678
GCF_023283885.1	Shewanella basaltis
GCF_015069875.1	Shewanella benthica
GCF_003966225.1	Shewanella canadensis
GCF_019670705.1	Shewanella carassii
GCF_037953065.1	Shewanella chilikensis
GCF_001735525.1	Shewanella colwelliana
GCF_023349125.1	Shewanella corallii
GCF_022410515.1	Shewanella cutis
GCF_017354985.1	Shewanella cyperi
GCF_004354305.1	Shewanella decolorationis
GCF_000013765.1	Shewanella denitrificans OS217
GCF_023283565.1	Shewanella dokdonensis
GCF_007567505.1	Shewanella donghaensis
GCF_022321485.1	Shewanella electrica
GCF_023283985.1	Shewanella electrodiphila
GCF_007004545.3	Shewanella eurypsychrophilus
GCF_000518605.1	Shewanella fidelis ATCC BAA-318
GCF_023349145.1	Shewanella fodinae
GCF_000014705.1	Shewanella frigidimarina NCIMB 400
GCF_023284065.1	Shewanella gaetbuli
GCF_014647855.1	Shewanella gelidii
GCF_023283945.1	Shewanella gelidimarina
GCF_020511155.1	Shewanella glacialimarina
GCF_023283485.1	Shewanella glacialipiscicola
GCF_030252245.1	Shewanella goraebulensis
GCF_019655335.1	Shewanella hafniensis
GCF_000019185.1	Shewanella halifaxensis HAW-EB4
GCF_019457535.1	Shewanella halotolerans
GCF_007197645.1	Shewanella hanedai
GCF_025370255.1	Shewanella holmiensis
GCF_033842865.1	Shewanella indica
GCF_009831655.1	Shewanella insulae
GCF_018221465.1	Shewanella intestini
GCF_019931735.1	Shewanella inventionis
GCF_002075795.1	Shewanella japonica
GCF_018596335.1	Shewanella jiangmenensis
GCF_023284045.1	Shewanella kaireitica
GCF_003957745.1	Shewanella khirikhana
GCF_014648335.1	Shewanella litoralis
GCF_016834455.1	Shewanella litorisediminis
GCF_003855395.1	Shewanella livingstonensis
GCF_000016065.1	Shewanella loihica PV-4
GCF_000753795.1	Shewanella mangrovi
GCF_019457635.1	Shewanella mangrovisoli
GCF_000614975.1	Shewanella marina JCM 15074
GCF_023283845.1	Shewanella marinintestina
GCF_002215585.1	Shewanella marisflavi
GCF_004295345.1	Shewanella maritima
GCF_019457515.1	Shewanella mesophila
GCF_028750675.1	Shewanella metallivivens
GCF_003028295.1	Shewanella morhuae
GCF_019457885.1	Shewanella nanhaiensis
GCF_023283825.1	Shewanella olleyana
GCF_030848765.1	Shewanella oncorhynchi
GCF_000146165.2	Shewanella oneidensis MR-1
GCF_000018285.1	Shewanella pealeana ATCC 700345
GCF_025398315.1	Shewanella phaeophyticola
GCF_000014885.1	Shewanella piezotolerans WP3
GCF_023283895.1	Shewanella pneumatophori
GCF_006385555.1	Shewanella polaris
GCF_023283765.1	Shewanella profunda
GCF_003855155.1	Shewanella psychromarinicola
GCF_002005305.1	Shewanella psychrophila
GCF_007197555.1	Shewanella psychropiezotolerans
GCF_019457595.1	Shewanella psychrotolerans
GCF_016406325.1	Shewanella putrefaciens
GCF_019457655.1	Shewanella rhizosphaerae
GCF_019655015.1	Shewanella sairae
GCF_012911865.1	Shewanella salipaludis
GCF_014648295.1	Shewanella saliphila
GCF_031932065.1	Shewanella scandinavica
GCF_016765635.1	Shewanella schlegeliana
GCF_017354965.1	Shewanella sedimentimangrovi
GCF_000018025.1	Shewanella sediminis HAW-EB3
GCF_023283775.1	Shewanella seohaensis
GCF_025370265.1	Shewanella septentrionalis
GCF_019457555.1	Shewanella spartinae
GCF_025971955.1	Shewanella subflava
GCF_042646185.1	Shewanella submarina
GCF_023284005.1	Shewanella surugensis
GCF_014648315.1	Shewanella ulleungensis
GCF_031932135.1	Shewanella vaxholmensis
GCF_009994065.1	Shewanella vesiculosa
GCF_000091325.1	Shewanella violacea DSS12
GCF_000518805.1	Shewanella waksmanii ATCC BAA-643
GCF_000019525.1	Shewanella woodyi ATCC 51908
GCF_024971755.1	Shewanella xiamenensis
GCF_033180165.1	Shewanella youngdeokensis
GCF_018223345.1	Shewanella yunxiaonensis
GCF_019457615.1	Shewanella zhangzhouensis
GCF_022484835.1	Shewanella zhuhaiensis
GCF_030412945.1	Shiella aurantiaca
GCF_002290485.1	Shigella boydii
GCF_022354085.1	Shigella dysenteriae
GCF_000006925.2	Shigella flexneri 2a str. 301
GCF_002950395.1	Shigella sonnei
GCF_009831235.1	Shimazuella alba
GCF_000428065.1	Shimazuella kribbensis DSM 45090
GCF_022511585.1	Shimazuella soli
GCF_003014475.1	Shimia abyssi
GCF_900114635.1	Shimia aestuarii
GCF_016888515.1	Shimia biformata
GCF_900142085.1	Shimia gijangensis
GCF_900114415.1	Shimia haliotis
GCF_004346865.1	Shimia isoporae
GCF_005518135.1	Shimia litoralis
GCF_900112745.1	Shimia marina
GCF_007995215.1	Shimia ponticola
GCF_900182745.1	Shimia sagamensis
GCF_003990645.1	Shimia sediminis
GCF_001458215.1	Shimia thalassica
GCF_000262305.1	Shimwellia blattae DSM 4481 = NBRC 105725
GCF_016415625.1	Shimwellia pseudoproteus
GCF_022899935.1	Shinella curvata
GCF_024281235.1	Shinella daejeonensis
GCF_014203155.1	Shinella fusca
GCF_004341885.1	Shinella granuli
GCF_009827055.1	Shinella kummerowiae
GCF_010994755.1	Shinella lacus
GCF_023038235.1	Shinella oryzae
GCF_024609765.1	Shinella pollutisoli
GCF_022601905.1	Shinella sedimenti
GCF_030733865.1	Shinella sumterensis
GCF_025656855.1	Shinella yambaruensis
GCF_020883495.1	Shinella zoogloeoides
GCF_042683085.1	Shivajiella indica
GCF_034479305.1	Shouchella clausii
GCF_028735875.1	Shouchella hunanensis
GCF_004375095.1	Shouchella lehensis
GCF_900096965.1	Shouchella lonarensis
GCF_007725405.1	Shouchella miscanthi
GCF_002019765.1	Shouchella oshimensis
GCF_002019705.1	Shouchella patagoniensis
GCF_036700015.1	Shouchella rhizosphaerae
GCF_001484965.1	Shouchella shacheensis
GCF_025770735.1	Shouchella tritolerans
GCF_016907895.1	Shouchella xiaoxiensis
GCF_026163695.1	Shumkonia mesophila
GCF_000160115.1	Shuttleworthella satelles DSM 14600
GCF_000941055.1	Siansivirga zeaxanthinifaciens CC-SAMT-1
GCF_025914095.1	Siccibacter colletis
GCF_004168465.1	Siccibacter turicensis
GCF_014283215.1	Siccirubricoccus deserti
GCF_008360935.1	Siccirubricoccus phaeus
GCF_024102615.1	Siccirubricoccus soli
GCF_004328075.1	Siculibacillus lacustris
GCF_021654335.1	Sideroxyarcus emersonii
GCF_000025705.1	Sideroxydans lithotrophicus ES-1
GCF_000429065.1	Silanimonas lenta DSM 16282
GCF_003970735.1	Silicimonas algicola
GCF_025564085.1	Silvania confinis
GCF_025564065.1	Silvania hatchlandensis
GCF_001907975.1	Silvanigrella aquatica
GCF_009208775.1	Silvanigrella paludirubra
GCF_001006305.1	Silvibacterium bohemicum
GCF_004123295.1	Silvibacterium dinghuense
GCF_014645555.1	Silvimonas amylolytica
GCF_014645535.1	Silvimonas iriomotensis
GCF_030035605.1	Silvimonas soli
GCF_014202765.1	Silvimonas terrae
GCF_014337175.1	Simiaoa sunii
GCF_014192475.1	Simiduia aestuariiviva
GCF_000420285.1	Simiduia agarivorans SA1 = DSM 21679
GCF_030409605.1	Simiduia curdlanivorans
GCF_042853465.1	Simiduia litorea
GCF_003605385.1	Siminovitchia acidinfaciens
GCF_000374565.1	Siminovitchia fordii DSM 16014 = CIP 108821
GCF_007681465.1	Siminovitchia fortis
GCF_042680885.1	Siminovitchia sediminis
GCF_003605405.2	Siminovitchia terrae
GCF_016909185.1	Siminovitchia thermophila
GCF_000237205.1	Simkania negevensis Z
GCF_002951835.1	Simonsiella muelleri ATCC 29453
GCF_003570885.1	Simplicispira hankyongi
GCF_003604195.1	Simplicispira lacusdiani
GCF_003568725.2	Simplicispira metamorpha
GCF_000688255.1	Simplicispira psychrophila DSM 11588
GCF_022760965.1	Simplicispira sedimenti
GCF_003008595.1	Simplicispira suum
GCF_018128545.1	Sinanaerobacter chloroacetimidivorans
GCF_000242455.2	Singulisphaera acidiphila DSM 18658
GCF_003201205.1	Sinimarinibacterium flocculans
GCF_040327995.1	Sinimarinibacterium thermocellulolyticum
