GCF_031834595.1	Stenotrophomonas oahuensis
GCF_003046775.1	Stenotrophomonas panacihumi
GCF_052605565.1	Stenotrophomonas pavanii
GCF_001431585.1	Stenotrophomonas pictorum JCM 9942
GCF_030549615.1	Stenotrophomonas pigmentata
GCF_000661955.1	Stenotrophomonas rhizophila
GCF_040256885.1	Stenotrophomonas riyadhensis
GCF_977007095.1	Stenotrophomonas sepilia
GCF_001431465.1	Stenotrophomonas terrae
GCF_001499715.1	Stenotrophomonas thermophila
GCF_030549525.1	Stenotrophomonas tuberculopleuritidis
GCF_014117215.1	Stenotrophomonas tumulicola
GCF_000745895.1	Stenoxybacter acetivorans DSM 19021
GCF_009932555.1	Steroidobacter agaridevorans
GCF_003104955.1	Steroidobacter cummioxidans
GCF_001579945.1	Steroidobacter denitrificans
GCF_042651805.1	Steroidobacter flavus
GCF_016801985.1	Steroidobacter gossypii
GCF_001586935.1	Sterolibacterium denitrificans
GCF_007745635.1	Stieleria bergensis
GCF_007753675.1	Stieleria magnilauensis
GCF_008035925.1	Stieleria maiorica
GCF_014154935.1	Stieleria mannarensis
GCF_007741555.1	Stieleria marina
GCF_007754155.1	Stieleria neptunia
GCF_025060895.1	Stieleria sedimenti
GCF_024129865.1	Stieleria tagensis
GCF_038443385.1	Stieleria varia
GCF_028368975.1	Stigmatella ashevillensis
GCF_900109545.1	Stigmatella aurantiaca
GCF_900111745.1	Stigmatella erecta
GCF_020103775.1	Stigmatella hybrida
GCF_000242235.1	Stomatobaculum longum
GCF_036336025.1	Stomatohabitans albus
GCF_007744515.1	Stratiformator vulcanicus
GCF_000397185.1	Strawberry lethal yellows phytoplasma (CPA) str. NZSb11
GCF_000744705.1	Streptacidiphilus albus JL83
GCF_042511045.1	Streptacidiphilus alkalitolerans
GCF_000787855.1	Streptacidiphilus anmyonensis
GCF_000787775.1	Streptacidiphilus carbonis
GCF_042510955.1	Streptacidiphilus cavernicola
GCF_015690355.1	Streptacidiphilus fuscans
GCF_042510965.1	Streptacidiphilus jeojiensis
GCF_900109465.1	Streptacidiphilus jiangxiensis
GCF_000787835.1	Streptacidiphilus melanogenes
GCF_042658505.1	Streptacidiphilus monticola
GCF_000787815.1	Streptacidiphilus neutrinimicus
GCF_003258295.1	Streptacidiphilus pinicola
GCF_000744655.1	Streptacidiphilus rugosus AM-16
GCF_000237305.1	Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488
GCF_029223525.1	Streptantibioticus ferralitis
GCF_019890615.1	Streptantibioticus parmotrematis
GCF_024436055.1	Streptantibioticus rubrisoli
GCF_027947535.2	Streptantibioticus silvisoli
GCF_900129375.1	Streptoalloteichus hindustanus
GCF_024171885.1	Streptoalloteichus tenebrarius
GCF_009733925.1	Streptobacillus canis
GCF_013421525.1	Streptobacillus felis
GCF_000024565.1	Streptobacillus moniliformis DSM 12112
GCF_001902585.1	Streptobacillus notomytis
GCF_001891165.1	Streptobacillus ratti
GCF_900459045.1	Streptococcus acidominimus
GCF_001552035.1	Streptococcus agalactiae
GCF_042649785.1	Streptococcus alactolyticus
GCF_900636475.1	Streptococcus anginosus
GCF_900476055.1	Streptococcus australis
GCF_001984715.1	Streptococcus azizii
GCF_948472335.1	Streptococcus bouchesdurhonensis
GCF_001885095.1	Streptococcus bovimastitidis
GCF_000379985.1	Streptococcus caballi DSM 19004
GCF_943193075.1	Streptococcus caecimuris
GCF_042656225.1	Streptococcus caledonicus
GCF_053207365.1	Streptococcus cameli
GCF_900636575.1	Streptococcus canis
GCF_042649745.1	Streptococcus caprae
GCF_000425025.1	Streptococcus castoreus DSM 17536
GCF_011421425.1	Streptococcus catagoni
GCF_053207205.1	Streptococcus caviae
GCF_003086355.1	Streptococcus chenjunshii
GCF_003626515.1	Streptococcus chosunensis
GCF_016725005.1	Streptococcus constellatus
GCF_900459215.1	Streptococcus criceti
GCF_900475445.1	Streptococcus cristatus ATCC 51100
GCF_001921845.1	Streptococcus cuniculi
GCF_007859195.1	Streptococcus cuniculipharyngis
GCF_025447695.1	Streptococcus danieliae
GCF_034137685.1	Streptococcus dentalis
GCF_042649885.1	Streptococcus dentapri
GCF_053206945.1	Streptococcus dentasini
GCF_053206925.1	Streptococcus dentiloxodontae
GCF_000423725.1	Streptococcus devriesei DSM 19639
GCF_000380005.1	Streptococcus didelphis DSM 15616
GCF_900459175.1	Streptococcus downei MFe28
GCF_004353325.1	Streptococcus downii
GCF_016128095.1	Streptococcus dysgalactiae
GCF_000380025.1	Streptococcus entericus DSM 14446
GCF_015689395.1	Streptococcus equi subsp. zooepidemicus
GCF_049393805.1	Streptococcus equinus
GCF_040888305.1	Streptococcus fermentans
GCF_900475025.1	Streptococcus ferus
GCF_053206505.1	Streptococcus fryi
GCF_040545695.1	Streptococcus gallinaceus
GCF_013267695.1	Streptococcus gallolyticus
GCF_035544715.1	Streptococcus gingivalis
GCF_019046945.1	Streptococcus gordonii
GCF_003627155.1	Streptococcus gwangjuensis
GCF_019774635.1	Streptococcus halichoeri
GCF_003143695.2	Streptococcus halitosis
GCF_001598035.1	Streptococcus halotolerans
GCF_040984445.1	Streptococcus handemini
GCF_000376985.1	Streptococcus henryi DSM 19005
GCF_043656315.1	Streptococcus hepaticus
GCF_041081565.1	Streptococcus hillyeri
GCF_001708305.1	Streptococcus himalayensis
GCF_020089495.2	Streptococcus hohhotensis
GCF_014287335.1	Streptococcus hominis
GCF_053206145.1	Streptococcus hongkongensis
GCF_040930515.1	Streptococcus huangxiaojuni
GCF_019448275.1	Streptococcus humanilactis
GCF_050314295.1	Streptococcus hyointestinalis
GCF_000420785.1	Streptococcus hyovaginalis DSM 12219
GCF_000188015.2	Streptococcus ictaluri 707-05
GCF_000479335.1	Streptococcus ilei
GCF_032595075.1	Streptococcus iners
GCF_016127275.1	Streptococcus infantarius
GCF_000187465.1	Streptococcus infantis ATCC 700779
GCF_000831485.1	Streptococcus iniae
GCF_900475975.1	Streptococcus intermedius
GCF_040225085.1	Streptococcus jiangjianxini
GCF_040888325.1	Streptococcus jiangnanensis
GCF_003627135.1	Streptococcus koreensis
GCF_018127725.1	Streptococcus lactarius
GCF_034134805.1	Streptococcus lingualis
GCF_016908645.1	Streptococcus loxodontisalivarius
GCF_900475675.1	Streptococcus lutetiensis
GCF_900459485.1	Streptococcus macacae NCTC 11558
GCF_029866925.1	Streptococcus macedonicus
GCF_000380045.1	Streptococcus marimammalium DSM 18627
GCF_001623565.1	Streptococcus marmotae
GCF_900459365.1	Streptococcus massiliensis
GCF_900187085.1	Streptococcus merionis
GCF_000377005.1	Streptococcus minor DSM 17118
GCF_001281025.1	Streptococcus mitis
GCF_053204445.1	Streptococcus moroccensis
GCF_019048645.1	Streptococcus mutans
GCF_042140045.1	Streptococcus nidrosiense
GCF_900637025.1	Streptococcus oralis ATCC 35037
GCF_017883985.1	Streptococcus oricebi
GCF_053204245.1	Streptococcus orisasini
GCF_018137985.1	Streptococcus oriscaviae
GCF_000380105.1	Streptococcus orisratti DSM 15617
GCF_000380125.1	Streptococcus ovis DSM 16829
GCF_012396585.1	Streptococcus ovuberis
GCF_016481305.1	Streptococcus pacificus
GCF_017884005.1	Streptococcus panodentis
GCF_001642085.1	Streptococcus pantholopis
GCF_037076355.1	Streptococcus parapneumoniae
GCF_054785155.1	Streptococcus parasalivarius
GCF_000164675.2	Streptococcus parasanguinis ATCC 15912
GCF_021654455.1	Streptococcus parasuis
GCF_000187935.1	Streptococcus parauberis NCFD 2020
GCF_004843545.1	Streptococcus pasteurianus
GCF_053204055.1	Streptococcus penaeicida
GCF_003963555.1	Streptococcus periodonticum
GCF_000187585.1	Streptococcus peroris ATCC 700780
GCF_001302265.1	Streptococcus phocae
GCF_002953735.1	Streptococcus pluranimalium
GCF_000423745.1	Streptococcus plurextorum DSM 22810
GCF_001457635.1	Streptococcus pneumoniae
GCF_000423765.1	Streptococcus porci DSM 23759
GCF_900475415.1	Streptococcus porcinus
GCF_053203725.1	Streptococcus porcorum
GCF_000221985.1	Streptococcus pseudopneumoniae IS7493
GCF_900637075.1	Streptococcus pseudoporcinus
GCF_900475035.1	Streptococcus pyogenes
GCF_030284685.1	Streptococcus raffinosi
GCF_008803015.1	Streptococcus ratti
GCF_003595525.1	Streptococcus respiraculi
GCF_053203525.1	Streptococcus rifensis
GCF_004785935.1	Streptococcus rubneri
GCF_003609975.1	Streptococcus ruminantium
GCF_011387195.1	Streptococcus ruminicola
GCF_040545225.1	Streptococcus rupicaprae
GCF_000253315.1	Streptococcus salivarius JIM8777
GCF_016908655.1	Streptococcus saliviloxodontae
GCF_900475505.1	Streptococcus sanguinis
GCF_024814375.1	Streptococcus sciuri
GCF_006385785.1	Streptococcus shenyangsis
GCF_000767835.1	Streptococcus sinensis
GCF_003172995.1	Streptococcus sobrinus
GCF_000026745.1	Streptococcus suis BM407
GCF_032594915.1	Streptococcus suivaginalis
GCF_006385165.1	Streptococcus symci
GCF_044503215.1	Streptococcus tangpeifui
GCF_029948085.1	Streptococcus taonis
GCF_029589235.1	Streptococcus taoyuanensis
GCF_903645285.1	Streptococcus thalassemiae
GCF_903886475.1	Streptococcus thermophilus
GCF_000380145.1	Streptococcus thoraltensis DSM 12221
GCF_900095845.1	Streptococcus timonensis
GCF_024346585.1	Streptococcus toyakuensis
GCF_053203225.1	Streptococcus troglodytae
GCF_900475595.1	Streptococcus uberis
GCF_900636885.1	Streptococcus urinalis
GCF_017315345.1	Streptococcus vaginalis
GCF_001375655.1	Streptococcus varani
GCF_900636445.1	Streptococcus vestibularis
GCF_016461705.1	Streptococcus vicugnae
GCF_019218685.1	Streptococcus vulneris
GCF_040888245.1	Streptococcus wuxiensis
GCF_006385805.1	Streptococcus xiaochunlingii
GCF_016481285.1	Streptococcus zalophi
GCF_017639855.1	Streptococcus zhangguiae
GCF_053592165.1	Streptodolium elevatio
GCF_003201605.1	Streptohalobacillus salinus
GCF_000826685.1	Streptomonospora alba
GCF_039531585.1	Streptomonospora arabica
GCF_039542725.1	Streptomonospora halophila
GCF_004323735.1	Streptomonospora litoralis
GCF_027604915.1	Streptomonospora mangrovi
GCF_013410565.1	Streptomonospora nanhaiensis
GCF_014204715.1	Streptomonospora salina
GCF_054778995.1	Streptomonospora sediminis
GCF_031845375.1	Streptomonospora wellingtoniae
GCF_014648775.1	Streptomyces abikoensis
GCF_001751365.1	Streptomyces abyssalis
GCF_008974245.1	Streptomyces abyssomicinicus
GCF_037892235.1	Streptomyces achmelvichensis
GCF_045160875.1	Streptomyces achromogenes
GCF_009377235.1	Streptomyces acidicola
GCF_051172935.1	Streptomyces acidiscabies
GCF_016741775.1	Streptomyces actinomycinicus
GCF_016921115.1	Streptomyces actuosus
GCF_020400605.1	Streptomyces aculeolatus
GCF_016598475.1	Streptomyces adelaidensis
GCF_041021105.1	Streptomyces adonidis
GCF_009377175.1	Streptomyces adustus
GCF_044327915.1	Streptomyces afghaniensis
GCF_030816955.1	Streptomyces africanus
GCF_001746455.1	Streptomyces agglomeratus
GCF_900112355.1	Streptomyces aidingensis
GCF_019599145.1	Streptomyces akebiae
GCF_014650595.1	Streptomyces alanosinicus
GCF_039530985.1	Streptomyces albiaxialis
GCF_008905045.1	Streptomyces albicerus
GCF_025642175.1	Streptomyces albidocamelliae
GCF_039529395.1	Streptomyces albidochromogenes
GCF_045039635.1	Streptomyces albidoflavus
GCF_014645835.1	Streptomyces albiflavescens
GCF_023701525.1	Streptomyces albipurpureus
GCF_021228125.1	Streptomyces albireticuli
GCF_008634025.1	Streptomyces albofaciens JCM 4342
GCF_000716675.1	Streptomyces alboflavus
GCF_044901485.1	Streptomyces albogriseolus
GCF_008704395.1	Streptomyces alboniger
GCF_014648695.1	Streptomyces albospinus
GCF_002150845.1	Streptomyces alboverticillatus
GCF_002154385.1	Streptomyces albovinaceus
GCF_024752535.1	Streptomyces albus
GCF_018141485.1	Streptomyces alfalfae
GCF_014141535.1	Streptomyces alkaliphilus
GCF_013618545.1	Streptomyces alkaliterrae
GCF_045276965.1	Streptomyces althioticus
GCF_053591575.1	Streptomyces altiplanensis
GCF_039532665.1	Streptomyces amakusaensis
GCF_001267885.1	Streptomyces ambofaciens ATCC 23877
GCF_001953875.1	Streptomyces amritsarensis
GCF_014650655.1	Streptomyces anandii JCM 4720
GCF_019400875.1	Streptomyces anatolicus
GCF_042651645.1	Streptomyces andamanensis
GCF_019933235.1	Streptomyces angustmyceticus
GCF_026627255.1	Streptomyces antarcticus
GCF_035917655.1	Streptomyces anthocyanicus
GCF_049310305.1	Streptomyces anthophorae
GCF_043202155.1	Streptomyces antibioticus
GCF_020532625.1	Streptomyces antimicrobicus
GCF_045161845.1	Streptomyces antimycoticus
GCF_000968685.2	Streptomyces antioxidans
GCF_004005495.1	Streptomyces antnestii
GCF_001434355.1	Streptomyces anulatus
GCF_009739465.1	Streptomyces apocyni
GCF_008369065.1	Streptomyces apricus
GCF_003955715.1	Streptomyces aquilus
GCF_008932075.1	Streptomyces arboris
GCF_003112575.1	Streptomyces ardesiacus
GCF_042902585.1	Streptomyces argenteolus
GCF_013046785.1	Streptomyces argyrophylli
GCF_003355155.1	Streptomyces armeniacus
GCF_018138715.1	Streptomyces asiaticus
GCF_016860545.1	Streptomyces asoensis
GCF_046614805.1	Streptomyces atacamensis
GCF_003330865.1	Streptomyces atratus
GCF_001418325.1	Streptomyces atriruber
GCF_964020845.1	Streptomyces atroolivaceus
GCF_039533285.1	Streptomyces atrovirens
GCF_014701115.1	Streptomyces aurantiacus
GCF_014649375.1	Streptomyces aurantiogriseus
GCF_050433025.1	Streptomyces auratus
GCF_000720475.1	Streptomyces aureocirculatus
GCF_042657885.1	Streptomyces aureoversilis
GCF_039527835.1	Streptomyces aureus
GCF_000009765.2	Streptomyces avermitilis MA-4680 = NBRC 14893
GCF_000719135.1	Streptomyces avicenniae
GCF_045161815.1	Streptomyces avidinii
GCF_039532135.1	Streptomyces axinellae
GCF_001270025.1	Streptomyces azureus
GCF_000716025.1	Streptomyces baarnensis
GCF_044767875.1	Streptomyces bacillaris
GCF_014649415.1	Streptomyces badius
GCF_020532645.1	Streptomyces bambusae
GCF_039530525.1	Streptomyces bangladeshensis
GCF_002843305.1	Streptomyces barkulensis
GCF_020819595.1	Streptomyces barringtoniae
GCF_015910445.1	Streptomyces bathyalis
GCF_004784475.1	Streptomyces bauhiniae
GCF_019710745.1	Streptomyces beigongshangae
GCF_026274175.1	Streptomyces beihaiensis
GCF_039526835.1	Streptomyces beijiangensis
GCF_007280585.1	Streptomyces benahoarensis
GCF_000719285.1	Streptomyces bicolor
GCF_000716625.1	Streptomyces bikiniensis
GCF_039521185.1	Streptomyces blastmyceticus
GCF_009709555.1	Streptomyces blattellae
GCF_014650715.1	Streptomyces bluensis
GCF_036172715.1	Streptomyces bobili
GCF_031845405.1	Streptomyces boetiae
GCF_012033785.1	Streptomyces bohaiensis
GCF_009908195.1	Streptomyces boluensis
GCF_011045075.1	Streptomyces boncukensis
GCF_048572725.1	Streptomyces boninensis
GCF_003721215.1	Streptomyces botrytidirepellens
GCF_000383595.1	Streptomyces bottropensis ATCC 25435
GCF_014647875.1	Streptomyces brasiliensis
GCF_018927715.1	Streptomyces brasiliscabiei
GCF_007829885.1	Streptomyces brevispora
GCF_009796285.1	Streptomyces broussonetiae
GCF_014295035.1	Streptomyces buecherae
GCF_036352915.1	Streptomyces bugieae
GCF_042657145.1	Streptomyces bullii
GCF_001514215.1	Streptomyces bungoensis
GCF_001187435.1	Streptomyces caatingaensis
GCF_006539165.1	Streptomyces cacaoi
GCF_003261055.1	Streptomyces cadmiisoli
GCF_014205255.1	Streptomyces caelestis
GCF_042678285.1	Streptomyces caeni
GCF_001514235.1	Streptomyces caeruleatus
GCF_002891435.1	Streptomyces cahuitamycinicus
GCF_014141525.1	Streptomyces calidiresistens
GCF_016906185.1	Streptomyces californicus
GCF_006716135.1	Streptomyces calvus
GCF_027625935.1	Streptomyces camelliae
GCF_014646115.1	Streptomyces camponoticapitis
GCF_014650735.1	Streptomyces canarius
GCF_014655855.1	Streptomyces candidus
GCF_036178885.1	Streptomyces caniferus
GCF_051171815.1	Streptomyces caniscabiei
GCF_036177905.1	Streptomyces canus
GCF_007829875.1	Streptomyces capillispiralis
GCF_002214185.1	Streptomyces capitiformicae
GCF_014654935.1	Streptomyces capoamus
GCF_054782095.1	Streptomyces capparidis
GCF_002794255.1	Streptomyces carminius
GCF_025133285.1	Streptomyces carpaticus
GCF_002154505.1	Streptomyces carpinensis
GCF_030719295.1	Streptomyces castrisilvae
GCF_000718015.1	Streptomyces catenulae
GCF_029760955.1	Streptomyces cathayae
GCF_004023625.1	Streptomyces cavernae
GCF_029968035.1	Streptomyces cavernicola
GCF_042665405.1	Streptomyces caviscabies
GCF_006788935.1	Streptomyces cavourensis
GCF_001513965.1	Streptomyces cellostaticus
GCF_000720995.1	Streptomyces celluloflavus
GCF_042804095.1	Streptomyces cellulosae
GCF_024600715.1	Streptomyces changanensis
