GCF_002355735.1	Sulfuricaulis limicola
GCF_000297055.2	Sulfuricella denitrificans skB26
GCF_000183725.1	Sulfuricurvum kujiense DSM 16994
GCF_003966565.1	Sulfuricystis multivorans
GCF_004323595.1	Sulfuricystis thermophila
GCF_003851125.1	Sulfuriferula multivorans
GCF_009937995.1	Sulfuriferula nivalis
GCF_009938015.1	Sulfuriferula plumbiphila
GCF_003864975.1	Sulfuriferula thiophila
GCF_003967195.1	Sulfuriflexus mobilis
GCF_002355415.1	Sulfurifustis variabilis
GCF_000021545.1	Sulfurihydrogenibium azorense Az-Fu1
GCF_000619805.1	Sulfurihydrogenibium subterraneum DSM 15120
GCF_000173615.1	Sulfurihydrogenibium yellowstonense SS-5
GCF_011764585.1	Sulfurimicrobium lacus
GCF_017357825.1	Sulfurimonas aquatica
GCF_000147355.1	Sulfurimonas autotrophica DSM 16294
GCF_005217605.1	Sulfurimonas crateris
GCF_000012965.1	Sulfurimonas denitrificans DSM 1251
GCF_039645995.1	Sulfurimonas diazotrophicus
GCF_000242915.1	Sulfurimonas gotlandica GD1
GCF_000445475.1	Sulfurimonas hongkongensis
GCF_009068765.1	Sulfurimonas hydrogeniphila
GCF_009192995.1	Sulfurimonas indica
GCF_009258225.1	Sulfurimonas lithotrophica
GCF_014905095.1	Sulfurimonas marina
GCF_030577135.1	Sulfurimonas microaerophilic
GCF_014905135.1	Sulfurimonas paralvinellae
GCF_014905115.1	Sulfurimonas sediminis
GCF_009258045.1	Sulfurimonas xiamenensis
GCF_004346685.1	Sulfurirhabdus autotrophica
GCF_010681825.2	Sulfuriroseicoccus oceanibius
GCF_003865015.1	Sulfurisoma sediminicola
GCF_000828635.1	Sulfuritalea hydrogenivorans sk43H
GCF_003967275.1	Sulfuritortus calidifontis
GCF_004001245.1	Sulfurivermis fontis
GCF_900141795.1	Sulfurivirga caldicuralii
GCF_000597725.1	Sulfurospirillum arcachonense DSM 9755
GCF_000813345.1	Sulfurospirillum arsenophilum NBRC 109478
GCF_000265295.1	Sulfurospirillum barnesii SES-3
GCF_000813325.1	Sulfurospirillum cavolei NBRC 109482
GCF_000024885.1	Sulfurospirillum deleyianum DSM 6946
GCF_002309535.1	Sulfurospirillum diekertiae
GCF_001723605.1	Sulfurospirillum halorespirans DSM 13726
GCF_000568815.1	Sulfurospirillum multivorans DSM 12446
GCF_025770725.1	Sulfurospirillum oryzae
GCF_016937535.1	Sulfurospirillum tamanense
GCF_014931715.1	Sulfurovum indicum
GCF_000987835.1	Sulfurovum lithotrophicum
GCF_020911965.1	Sulfurovum mangrovi
GCF_001595645.1	Sulfurovum riftiae
GCF_030347995.1	Sulfurovum xiamenensis
GCF_030347965.1	Sulfurovum zhangzhouensis
GCF_042675645.1	Sungkyunkwania multivorans
GCF_001270965.1	Sunxiuqinia dokdonensis
GCF_900113005.1	Sunxiuqinia elliptica
GCF_009847015.1	Sunxiuqinia indica
GCF_050589705.1	Sunxiuqinia rutila
GCF_002915575.1	Superficieibacter electus
GCF_002250055.1	Sutcliffiella cohnii
GCF_020037475.1	Sutcliffiella deserti
GCF_002019665.1	Sutcliffiella halmapala
GCF_002157855.1	Sutcliffiella horikoshii
GCF_917563925.1	Sutcliffiella rhizosphaerae
GCF_016908565.1	Sutcliffiella tianshenii
GCF_006337085.1	Sutterella faecalis
GCF_016899755.1	Sutterella massiliensis
GCF_003609995.1	Sutterella megalosphaeroides
GCF_000250875.1	Sutterella parvirubra YIT 11816
GCF_009183815.1	Sutterella seckii
GCF_016724805.1	Sutterella wadsworthensis
GCF_900460215.1	Suttonella indologenes
GCF_900460265.1	Suttonella ornithocola
GCF_024666565.1	Svornostia abyssi
GCF_007988945.1	Swaminathania salitolerans
GCF_006542355.1	Swingsia samuiensis
GCF_017874315.1	Symbiobacterium terraclitae
GCF_000009905.1	Symbiobacterium thermophilum IAM 14863
GCF_051094275.1	symbiont of Argiope bruennichi
GCF_019797845.1	Symbiopectobacterium purcellii
GCF_030709675.1	Symbioplanes lichenis
GCF_007747995.1	Symmachiella dynata
GCF_007860075.1	Symmachiella macrocystis
GCF_022984195.1	Synechococcus elongatus PCC 6301
GCF_024345595.1	Synechococcus lacustris Maggiore-St4-Slac
GCF_015207985.1	Synechocystis salina LEGE 00031
GCF_000712295.1	Synergistes jonesii
GCF_029023725.1	Synoicihabitans lomoniglobus
GCF_000946815.1	Syntrophaceticus schinkii
GCF_000014965.1	Syntrophobacter fumaroxidans MPOB
GCF_000190635.1	Syntrophobotulus glycolicus DSM 8271
GCF_001311885.1	Syntrophomonas palmitatica JCM 14374
GCF_000014725.1	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311
GCF_000983115.1	Syntrophomonas zehnderi OL-4
GCF_000512235.1	Syntrophorhabdus aromaticivorans UI
GCF_001887715.1	Syntrophotalea acetylenica
GCF_001887775.1	Syntrophotalea acetylenivorans
GCF_000012885.1	Syntrophotalea carbinolica DSM 2380
GCF_000092405.1	Syntrophothermus lipocalidus DSM 12680
GCF_000013405.1	Syntrophus aciditrophicus SB
GCF_046097065.1	Syntrophus buswellii
GCF_900109885.1	Syntrophus gentianae
GCF_016765775.1	Szabonella alba
GCF_002900975.1	Tabrizicola aquatica
GCF_004762095.1	Tabrizicola caldifontis
GCF_008271465.1	Tabrizicola flagellatus
GCF_011008935.1	Tabrizicola oligotrophica
GCF_003940805.1	Tabrizicola piscis
GCF_015999335.1	Tabrizicola soli
GCF_003574395.1	Tabrizicola thermarum
GCF_025398735.1	Tahibacter amnicola
GCF_004363655.1	Tahibacter aquaticus
GCF_024609805.1	Tahibacter caeni
GCF_024437735.1	Tahibacter harae
GCF_025717065.2	Tahibacter soli
GCF_003014535.1	Taibaiella chishuiensis
GCF_003545695.1	Taibaiella helva
GCF_003545715.1	Taibaiella koreensis
GCF_008629695.1	Taibaiella lutea
GCF_003236175.1	Taibaiella soli
GCF_014518315.1	Taishania pollutisoli
GCF_016595235.1	Taklimakanibacter albus
GCF_003574785.1	Taklimakanibacter deserti
GCF_003576695.1	Taklimakanibacter lacteus
GCF_004340875.1	Tamaricihabitans halophyticus
GCF_003096655.1	Tamilnaduibacter salinus
GCF_012037625.1	Tamlana crocina
GCF_041287255.1	Tamlana flava
GCF_900141875.1	Tangfeifania diversioriginum
GCF_000238215.1	Tannerella forsythia 92A2
GCF_001717525.2	Tannerella serpentiformis
GCF_021054785.1	Tannockella kyphosi
GCF_000963885.1	Tanticharoenia sakaeratensis NBRC 103193
GCF_001890385.1	Tardibacter chloracetimidivorans
GCF_018279705.1	Tardiphaga alba
GCF_013359755.1	Tardiphaga robiniae
GCF_045797845.1	Tateyamaria armeniaca
GCF_014651375.1	Tateyamaria omphalii
GCF_019966495.1	Tateyamaria pelophila
GCF_002163585.1	Tatumella citrea
GCF_000757425.2	Tatumella morbirosei
GCF_000439895.1	Tatumella ptyseos ATCC 33301
GCF_039523735.1	Tatumella punctata
GCF_000439375.1	Tatumella saanichensis
GCF_039523755.1	Tatumella terrea
GCF_025232395.1	Taurinivorans muris
GCF_009177065.1	Tautonia marina
GCF_007752535.1	Tautonia plasticadhaerens
GCF_012958305.1	Tautonia rosea
GCF_003977685.1	Tautonia sociabilis
GCF_000226625.1	Taylorella asinigenitalis MCE3
