GCF_014879975.1	Vibrio bathopelagicus
GCF_001399455.2	Vibrio bivalvicida
GCF_000189255.1	Vibrio brasiliensis LMG 20546
GCF_024346795.1	Vibrio breoganii
GCF_002906475.1	Vibrio campbellii
GCF_000165125.1	Vibrio caribbeanicus ATCC BAA-2122
GCF_003335255.1	Vibrio casei
GCF_002156525.1	Vibrio celticus
GCF_040412085.2	Vibrio chaetopteri
GCF_024347355.1	Vibrio chagasii
GCF_028863985.1	Vibrio chanodichtyis
GCF_012275705.1	Vibrio chemaguriensis
GCF_008369605.1	Vibrio cholerae
GCF_009665415.1	Vibrio cidicii
GCF_900460255.1	Vibrio cincinnatiensis
GCF_050337155.1	Vibrio cionasavignyae
GCF_050337905.1	Vibrio clamense
GCF_024346835.1	Vibrio comitans
GCF_029541605.1	Vibrio coralliilyticus
GCF_036864355.1	Vibrio coralliirubri
GCF_024347395.1	Vibrio cortegadensis
GCF_024347415.1	Vibrio crassostreae
GCF_005144905.1	Vibrio cyclitrophicus
GCF_011801455.1	Vibrio diabolicus
GCF_038452265.1	Vibrio diazotrophicus
GCF_024347455.1	Vibrio echinoideorum
GCF_009874545.1	Vibrio eleionomae
GCF_001695575.1	Vibrio europaeus
GCF_003568985.1	Vibrio ezurae
GCF_021852965.1	Vibrio floridensis
GCF_015278125.1	Vibrio fluminensis
GCF_001558415.2	Vibrio fluvialis
GCF_024347475.1	Vibrio fortis
GCF_002749895.1	Vibrio fujianensis
GCF_006364355.1	Vibrio furnissii
GCF_000967545.1	Vibrio galatheae
GCF_024347495.1	Vibrio gallaecicus
GCF_024346875.1	Vibrio gallicus
GCF_026001925.1	Vibrio gangliei
GCF_023920225.1	Vibrio gazogenes
GCF_022836845.1	Vibrio gelatinilyticus
GCF_022371215.1	Vibrio gigantis
GCF_003568965.1	Vibrio halioticoli
GCF_900107935.1	Vibrio hangzhouensis
GCF_029589055.1	Vibrio hannami
GCF_030060435.1	Vibrio harveyi
GCF_001274785.1	Vibrio hepatarius
GCF_015223435.1	Vibrio hibernica
GCF_921292975.1	Vibrio hippocampi
GCF_002906655.1	Vibrio hyugaensis
GCF_000222605.1	Vibrio ichthyoenteri ATCC 700023
GCF_001895205.1	Vibrio injensis
GCF_025195085.2	Vibrio intestinalis
GCF_024346935.1	Vibrio inusitatus
GCF_042245395.1	Vibrio iocasae
GCF_024347675.1	Vibrio ishigakensis
GCF_024582835.1	Vibrio japonicus
GCF_002887615.1	Vibrio jasicida 090810c
GCF_050337535.1	Vibrio kagoshimensis
GCF_024347535.1	Vibrio kanaloae
GCF_050337565.1	Vibrio kasasachensis
GCF_050337325.1	Vibrio kyushuensis
GCF_050337265.1	Vibrio lamellibrachiae
GCF_002877605.2	Vibrio lentus
GCF_000426765.1	Vibrio litoralis DSM 17657
GCF_003415655.1	Vibrio maerlii
GCF_050337375.1	Vibrio makurazakiensis
GCF_024346955.1	Vibrio mangrovi
GCF_014050145.1	Vibrio marinisediminis
GCF_921294215.1	Vibrio marisflavi CECT 7928
GCF_013364395.1	Vibrio mediterranei
GCF_023634655.1	Vibrio methylphosphonaticus
GCF_030580635.1	Vibrio metoecus
GCF_900460295.1	Vibrio metschnikovii
GCF_001012815.1	Vibrio mexicanus
GCF_900460385.1	Vibrio mimicus
GCF_050337445.1	Vibrio minamisatsumaniensis
GCF_029635775.1	Vibrio misgurnus
GCF_965136275.1	Vibrio mytili
GCF_001456255.1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759
GCF_000764325.1	Vibrio navarrensis
GCF_024346975.1	Vibrio neonatus
GCF_000967495.1	Vibrio neptunius
GCF_001591105.1	Vibrio nereis NBRC 15637
GCF_027924785.1	Vibrio nigripulchritudo
GCF_015686695.1	Vibrio nitrifigilis
GCF_050337205.1	Vibrio nomapromontoriensis
GCF_042428525.1	Vibrio olivae
GCF_000287155.2	Vibrio ordalii FS-238
GCF_000176235.1	Vibrio orientalis CIP 102891 = ATCC 33934
GCF_019226825.1	Vibrio ostreae
GCF_013074385.2	Vibrio ostreicida
GCF_004551525.1	Vibrio ouci
GCF_002021755.1	Vibrio owensii
GCF_000711795.1	Vibrio pacinii DSM 19139
GCF_024346995.1	Vibrio palustris
GCF_009938205.1	Vibrio panuliri
GCF_037672085.1	Vibrio paracholerae
GCF_000196095.1	Vibrio parahaemolyticus RIMD 2210633
GCF_026191655.1	Vibrio paucivorans
GCF_024347015.1	Vibrio pectenicida
GCF_024347575.1	Vibrio pelagius
GCF_019977755.1	Vibrio penaeicida
GCF_033542615.1	Vibrio plantisponsor
GCF_024347595.1	Vibrio pomeroyi
GCF_009938225.1	Vibrio ponticus
GCF_024347055.1	Vibrio porteresiae DSM 19223
GCF_005281835.1	Vibrio profundi
GCF_050337555.1	Vibrio profundum
GCF_000467125.1	Vibrio proteolyticus NBRC 13287
GCF_026191675.1	Vibrio qingdaonensis
GCF_002257545.1	Vibrio qinghaiensis
GCF_024529975.1	Vibrio quintilis
GCF_024347075.1	Vibrio rarus
GCF_000827885.1	Vibrio renipiscarius
GCF_024347095.1	Vibrio rhizosphaerae
GCF_003350325.1	Vibrio rhodolitus
GCF_002214395.1	Vibrio rotiferianus
GCF_024347115.1	Vibrio ruber
