GCF_003205195.1	Rhizobium wuzhouense
GCF_016862955.1	Rhizocola hellebori
GCF_025996515.1	Rhizohabitans arisaemae
GCF_011762045.1	Rhizomicrobium electricum
GCF_011761565.1	Rhizomicrobium palustre
GCF_018397995.1	Rhizomonospora bruguierae
GCF_037861105.1	Rhizorhabdus argentea
GCF_002355275.1	Rhizorhabdus dicambivorans
GCF_900167915.1	Rhizorhabdus histidinilytica
GCF_011044255.1	Rhizorhabdus phycosphaerae
GCF_017607425.1	Rhizorhabdus wittichii
GCF_014200045.1	Rhizorhapis suberifaciens
GCF_024508355.1	Rhizosaccharibacter radicis
GCF_004337365.2	Rhizosphaericola mali
GCF_030848925.1	Rhodalgimonas zhirmunskyi
GCF_042679525.1	Rhodanobacter aciditrophus
GCF_039523575.1	Rhodanobacter caeni
GCF_021545825.1	Rhodanobacter denitrificans
GCF_000264315.1	Rhodanobacter fulvus Jip2
GCF_040812275.1	Rhodanobacter geophilus
GCF_042657065.1	Rhodanobacter ginsengisoli
GCF_050026815.1	Rhodanobacter ginsengiterrae
GCF_042655685.1	Rhodanobacter ginsenosidimutans
GCF_900114325.1	Rhodanobacter glycinis
GCF_041107455.1	Rhodanobacter humi
GCF_044904645.1	Rhodanobacter hydrolyticus
GCF_004799035.1	Rhodanobacter lindaniclasticus
GCF_040812335.1	Rhodanobacter lycopersici
GCF_014651895.1	Rhodanobacter panaciterrae
GCF_039523495.1	Rhodanobacter soli
GCF_000264295.1	Rhodanobacter spathiphylli B39
GCF_042657005.1	Rhodanobacter terrae
GCF_001617355.1	Rhodanobacter thiooxydans
GCF_042654965.1	Rhodanobacter umsongensis
GCF_900156655.1	Rhodobacter aestuarii
GCF_011174775.1	Rhodobacter calidifons
GCF_000021865.1	Rhodobacter capsulatus SB 1003
GCF_000176015.1	Rhodobacter ferrooxidans
GCF_021378075.1	Rhodobacter flavimaris
GCF_042683065.1	Rhodobacter lacus
GCF_900217815.1	Rhodobacter maris
GCF_003217355.1	Rhodobacter viridis
GCF_001856665.1	Rhodobacter xanthinilyticus
GCF_016653255.1	Rhodobaculum claviforme
GCF_025961475.1	Rhodobium gokarnense
GCF_003258835.1	Rhodobium orientis
GCF_900187365.1	Rhodoblastus acidophilus
GCF_002937075.1	Rhodoblastus sphagnicola
GCF_011682235.2	Rhodocaloribacter litoris
GCF_042665545.1	Rhodocista pekingensis
